cash,GOOG,date
0.20856497,0.79143506,2023-10-25
0.3666704,0.6333296,2023-10-26
0.38691795,0.61308205,2023-10-27
0.29024675,0.7097533,2023-10-30
0.43289843,0.5671016,2023-10-31
0.8176581,0.18234187,2023-11-01
0.20876886,0.79123116,2023-11-02
0.75337183,0.24662814,2023-11-03
0.5582777,0.44172227,2023-11-06
0.66660124,0.33339876,2023-11-07
0.65710723,0.34289274,2023-11-08
0.63300145,0.36699852,2023-11-09
0.7729789,0.22702108,2023-11-10
0.14808851,0.8519115,2023-11-13
0.6643079,0.3356921,2023-11-14
0.57636356,0.42363647,2023-11-15
0.71636647,0.28363356,2023-11-16
0.39376113,0.6062389,2023-11-17
0.57385075,0.42614922,2023-11-20
0.23323381,0.7667662,2023-11-21
0.60252994,0.39747003,2023-11-22
0.5644285,0.4355715,2023-11-24
0.79956937,0.2004306,2023-11-27
0.4730038,0.5269962,2023-11-28
0.48569918,0.5143008,2023-11-29
0.74165285,0.25834712,2023-11-30
0.4013657,0.5986343,2023-12-01
0.36788327,0.63211673,2023-12-04
0.46344054,0.53655946,2023-12-05
0.1966845,0.8033155,2023-12-06
0.813864,0.18613599,2023-12-07
0.15614475,0.84385526,2023-12-08
0.37911442,0.62088555,2023-12-11
0.34542656,0.65457344,2023-12-12
0.32543606,0.67456394,2023-12-13
0.5123603,0.4876397,2023-12-14
