cash,WMT,date
0.02129255,0.97870743,2023-10-16
0.016012676,0.98398733,2023-10-17
0.016322603,0.9836774,2023-10-18
0.029913789,0.9700862,2023-10-19
0.51575243,0.4842476,2023-10-20
0.9641511,0.03584894,2023-10-23
0.9520285,0.047971472,2023-10-24
0.29852968,0.7014703,2023-10-25
0.1531332,0.8468668,2023-10-26
0.6920626,0.30793735,2023-10-27
0.8729904,0.12700956,2023-10-30
0.6125643,0.38743567,2023-10-31
0.3791949,0.6208051,2023-11-01
0.059521332,0.9404787,2023-11-02
0.05302997,0.94697005,2023-11-03
0.21451105,0.78548896,2023-11-06
0.3733179,0.6266821,2023-11-07
0.36892107,0.6310789,2023-11-08
0.93829167,0.061708327,2023-11-09
0.94245386,0.05754616,2023-11-10
0.65116423,0.34883574,2023-11-13
0.22785021,0.7721498,2023-11-14
0.29911527,0.7008847,2023-11-15
0.22734767,0.7726523,2023-11-16
0.94968194,0.05031809,2023-11-17
0.98039174,0.019608246,2023-11-20
0.9879139,0.012086067,2023-11-21
0.95993406,0.04006595,2023-11-22
0.93709576,0.06290427,2023-11-24
0.22785522,0.7721448,2023-11-27
0.054189526,0.9458105,2023-11-28
0.018549211,0.9814508,2023-11-29
0.35191998,0.64808005,2023-11-30
0.2190512,0.7809488,2023-12-01
0.9274222,0.072577775,2023-12-04
0.9498158,0.050184198,2023-12-05
0.37060422,0.6293958,2023-12-06
0.86443204,0.13556795,2023-12-07
0.95635015,0.043649845,2023-12-08
0.95323706,0.04676294,2023-12-11
0.9691244,0.030875621,2023-12-12
0.9379531,0.06204686,2023-12-13
0.0662094,0.9337906,2023-12-14
