cash,KO,date
0.080609374,0.9193906,2022-06-01
0.05588571,0.94411427,2022-06-02
0.108716846,0.89128315,2022-06-03
0.15180331,0.8481967,2022-06-06
0.08076306,0.91923696,2022-06-07
0.119202405,0.8807976,2022-06-08
0.37841338,0.6215866,2022-06-09
0.14961821,0.8503818,2022-06-10
0.080719374,0.91928065,2022-06-13
0.09271425,0.90728575,2022-06-14
0.06083794,0.9391621,2022-06-15
0.049699306,0.9503007,2022-06-16
0.074395336,0.92560464,2022-06-17
0.12730767,0.87269235,2022-06-21
0.24332349,0.7566765,2022-06-22
0.30155793,0.69844204,2022-06-23
0.42261434,0.57738566,2022-06-24
0.5033772,0.49662283,2022-06-27
0.65100276,0.34899727,2022-06-28
0.20481114,0.79518884,2022-06-29
0.4272929,0.57270706,2022-06-30
0.3617413,0.6382587,2022-07-01
0.33730024,0.66269976,2022-07-05
0.13077748,0.8692225,2022-07-06
0.20003968,0.7999603,2022-07-07
0.083226725,0.91677326,2022-07-08
0.2711432,0.7288568,2022-07-11
0.2648215,0.73517853,2022-07-12
0.19181314,0.8081868,2022-07-13
0.12438158,0.8756184,2022-07-14
0.16624384,0.83375615,2022-07-15
0.13345082,0.8665492,2022-07-18
0.3060699,0.6939301,2022-07-19
0.5859509,0.41404906,2022-07-20
0.22168954,0.7783105,2022-07-21
0.17753159,0.8224684,2022-07-22
0.30410123,0.6958988,2022-07-25
0.2727891,0.7272109,2022-07-26
0.31406584,0.6859341,2022-07-27
0.39683753,0.60316247,2022-07-28
0.46216646,0.5378336,2022-07-29
0.63182664,0.3681734,2022-08-01
0.62662685,0.37337315,2022-08-02
0.21332526,0.78667474,2022-08-03
0.36097896,0.63902104,2022-08-04
0.3083139,0.6916861,2022-08-05
0.28445327,0.7155467,2022-08-08
0.22266379,0.7773362,2022-08-09
0.55448747,0.44551253,2022-08-10
0.6657285,0.33427146,2022-08-11
0.73590714,0.26409286,2022-08-12
0.8147591,0.18524091,2022-08-15
0.6354341,0.3645659,2022-08-16
0.80324966,0.19675036,2022-08-17
0.9285381,0.07146191,2022-08-18
0.89930665,0.100693345,2022-08-19
0.9028008,0.09719921,2022-08-22
0.6006462,0.3993538,2022-08-23
0.5730414,0.4269586,2022-08-24
0.635782,0.36421797,2022-08-25
0.7664422,0.23355785,2022-08-26
0.12599008,0.8740099,2022-08-29
0.12405987,0.87594014,2022-08-30
0.11133899,0.888661,2022-08-31
0.13393757,0.8660624,2022-09-01
0.2026098,0.7973902,2022-09-02
0.085910566,0.91408944,2022-09-06
0.13252515,0.86747485,2022-09-07
0.15076137,0.84923863,2022-09-08
0.2203489,0.7796511,2022-09-09
0.26002365,0.73997635,2022-09-12
0.329651,0.670349,2022-09-13
0.0546358,0.9453642,2022-09-14
0.07846591,0.9215341,2022-09-15
0.060124204,0.9398758,2022-09-16
0.1215219,0.8784781,2022-09-19
0.114143774,0.8858562,2022-09-20
0.12925112,0.8707489,2022-09-21
0.094359264,0.9056407,2022-09-22
0.1191195,0.8808805,2022-09-23
0.06340708,0.93659294,2022-09-26
0.09896945,0.90103054,2022-09-27
0.05440157,0.9455984,2022-09-28
0.09713453,0.90286547,2022-09-29
0.1111233,0.8888767,2022-09-30
0.14448379,0.8555162,2022-10-03
0.13856472,0.8614353,2022-10-04
0.13475882,0.86524117,2022-10-05
0.1355424,0.8644576,2022-10-06
0.07477987,0.92522013,2022-10-07
0.08662971,0.9133703,2022-10-10
0.09913938,0.9008606,2022-10-11
0.14356644,0.8564336,2022-10-12
0.17822093,0.8217791,2022-10-13
0.24311502,0.756885,2022-10-14
0.10960552,0.8903945,2022-10-17
0.2736469,0.7263531,2022-10-18
0.48405424,0.5159458,2022-10-19
0.6117883,0.38821173,2022-10-20
0.1755377,0.8244623,2022-10-21
0.14628074,0.8537193,2022-10-24
0.2663527,0.7336473,2022-10-25
0.4306033,0.5693967,2022-10-26
0.5795398,0.42046025,2022-10-27
0.61445624,0.3855438,2022-10-28
0.44348252,0.5565175,2022-10-31
0.35171148,0.6482885,2022-11-01
0.29668373,0.7033163,2022-11-02
0.07429929,0.9257007,2022-11-03
0.14870174,0.8512983,2022-11-04
0.1236894,0.8763106,2022-11-07
0.45276457,0.5472354,2022-11-08
0.5033349,0.4966651,2022-11-09
0.3128468,0.6871532,2022-11-10
0.28645888,0.71354115,2022-11-11
0.35789132,0.6421087,2022-11-14
0.3739407,0.6260593,2022-11-15
0.10708546,0.89291453,2022-11-16
0.106850624,0.8931494,2022-11-17
0.2786781,0.72132194,2022-11-18
0.49344912,0.50655085,2022-11-21
0.37622866,0.6237713,2022-11-22
0.5989761,0.4010239,2022-11-23
0.77908635,0.22091366,2022-11-25
0.92625654,0.073743455,2022-11-28
0.8977775,0.10222247,2022-11-29
0.88171047,0.11828955,2022-11-30
0.3663987,0.6336013,2022-12-01
0.7444902,0.25550982,2022-12-02
0.7419867,0.2580133,2022-12-05
0.7733493,0.22665071,2022-12-06
0.724435,0.27556503,2022-12-07
0.68950313,0.31049684,2022-12-08
0.84362864,0.15637134,2022-12-09
0.53676593,0.46323407,2022-12-12
0.39074835,0.6092517,2022-12-13
0.20711838,0.7928816,2022-12-14
0.28534713,0.71465284,2022-12-15
0.11601034,0.88398963,2022-12-16
0.12556691,0.8744331,2022-12-19
0.15237388,0.84762615,2022-12-20
0.37496236,0.6250376,2022-12-21
0.478222,0.521778,2022-12-22
0.49735495,0.5026451,2022-12-23
0.7744525,0.22554748,2022-12-27
0.8502139,0.14978608,2022-12-28
0.61707073,0.3829293,2022-12-29
0.81183785,0.18816216,2022-12-30
0.7123277,0.28767228,2023-01-03
0.20096149,0.7990385,2023-01-04
0.13752466,0.86247534,2023-01-05
0.15718213,0.84281784,2023-01-06
0.22770207,0.7722979,2023-01-09
0.16495876,0.8350412,2023-01-10
0.18382591,0.8161741,2023-01-11
0.06912203,0.930878,2023-01-12
0.0628633,0.9371367,2023-01-13
0.14775461,0.8522454,2023-01-17
0.15309371,0.8469063,2023-01-18
0.05935922,0.9406408,2023-01-19
0.07027995,0.92972004,2023-01-20
0.06975957,0.93024045,2023-01-23
0.2723792,0.7276208,2023-01-24
0.19152796,0.80847204,2023-01-25
0.2671026,0.7328974,2023-01-26
0.3816805,0.6183195,2023-01-27
0.27828318,0.7217168,2023-01-30
0.2079174,0.7920826,2023-01-31
0.24865241,0.7513476,2023-02-01
0.62119824,0.37880176,2023-02-02
0.2933816,0.7066184,2023-02-03
0.08812513,0.9118749,2023-02-06
0.20307122,0.79692876,2023-02-07
0.31867105,0.68132895,2023-02-08
0.5970817,0.40291825,2023-02-09
0.42087767,0.57912236,2023-02-10
0.21299402,0.78700596,2023-02-13
0.25426796,0.74573207,2023-02-14
0.13211921,0.8678808,2023-02-15
0.20286204,0.797138,2023-02-16
0.10359124,0.89640874,2023-02-17
0.17786777,0.82213223,2023-02-21
0.36611053,0.63388944,2023-02-22
0.5994319,0.40056813,2023-02-23
0.663616,0.336384,2023-02-24
0.79593676,0.20406322,2023-02-27
0.75389576,0.24610424,2023-02-28
0.58407366,0.41592634,2023-03-01
0.37590027,0.62409973,2023-03-02
0.3538686,0.6461314,2023-03-03
0.5150932,0.4849068,2023-03-06
0.44417432,0.55582565,2023-03-07
0.39843065,0.60156935,2023-03-08
0.6641317,0.3358683,2023-03-09
0.1778684,0.82213163,2023-03-10
0.080511354,0.91948867,2023-03-13
0.12238956,0.87761045,2023-03-14
0.17124404,0.828756,2023-03-15
0.21002221,0.7899778,2023-03-16
0.4752758,0.5247242,2023-03-17
0.28968492,0.7103151,2023-03-20
0.57356536,0.4264346,2023-03-21
0.599675,0.400325,2023-03-22
0.5883642,0.4116358,2023-03-23
0.4919492,0.5080508,2023-03-24
0.44560313,0.55439687,2023-03-27
0.8395658,0.16043419,2023-03-28
0.9292528,0.07074718,2023-03-29
0.9305135,0.06948648,2023-03-30
0.90748703,0.09251295,2023-03-31
0.91285735,0.08714264,2023-04-03
0.89997333,0.10002664,2023-04-04
0.8687782,0.1312218,2023-04-05
0.90938187,0.09061812,2023-04-06
0.91464347,0.08535652,2023-04-10
0.93089116,0.06910887,2023-04-11
0.8965886,0.103411354,2023-04-12
0.87624913,0.12375087,2023-04-13
0.92317826,0.076821744,2023-04-14
0.9421076,0.057892393,2023-04-17
0.9491003,0.05089968,2023-04-18
0.9440218,0.055978168,2023-04-19
0.9352315,0.0647685,2023-04-20
0.9339402,0.06605983,2023-04-21
0.89445084,0.105549164,2023-04-24
0.5060352,0.4939648,2023-04-25
0.63191557,0.3680844,2023-04-26
0.7050377,0.2949623,2023-04-27
0.7077749,0.2922251,2023-04-28
0.7912639,0.2087361,2023-05-01
0.93781227,0.062187757,2023-05-02
0.8017547,0.19824532,2023-05-03
0.71712774,0.28287226,2023-05-04
0.747903,0.25209704,2023-05-05
0.843612,0.15638801,2023-05-08
0.92663,0.07337001,2023-05-09
0.8448822,0.1551178,2023-05-10
0.8182403,0.18175973,2023-05-11
0.7739722,0.22602776,2023-05-12
0.9205702,0.07942981,2023-05-15
0.9104291,0.0895709,2023-05-16
0.77873063,0.2212694,2023-05-17
0.5585899,0.44141012,2023-05-18
0.40669966,0.59330034,2023-05-19
0.46851185,0.5314882,2023-05-22
0.15129572,0.8487043,2023-05-23
0.17056476,0.8294352,2023-05-24
0.15860479,0.8413952,2023-05-25
0.23418923,0.7658108,2023-05-26
0.29974365,0.70025635,2023-05-30
0.2706749,0.72932506,2023-05-31
0.2094497,0.7905503,2023-06-01
0.3823084,0.6176916,2023-06-02
0.31835467,0.68164533,2023-06-05
0.42125267,0.57874733,2023-06-06
0.39337024,0.6066298,2023-06-07
0.325028,0.674972,2023-06-08
0.42864236,0.5713576,2023-06-09
0.6515092,0.34849077,2023-06-12
0.60158783,0.39841217,2023-06-13
0.67861784,0.3213822,2023-06-14
0.7952471,0.20475295,2023-06-15
0.7151516,0.28484836,2023-06-16
0.7233493,0.27665073,2023-06-20
0.8096971,0.1903029,2023-06-21
0.87098956,0.12901045,2023-06-22
0.8866291,0.11337089,2023-06-23
0.62321436,0.37678564,2023-06-26
0.63760936,0.3623906,2023-06-27
0.7772066,0.2227934,2023-06-28
0.5969589,0.40304112,2023-06-29
0.5034029,0.49659714,2023-06-30
0.40362424,0.59637576,2023-07-03
0.7218517,0.27814826,2023-07-05
0.7365139,0.26348606,2023-07-06
0.8004419,0.19955811,2023-07-07
0.5082003,0.4917997,2023-07-10
0.170854,0.829146,2023-07-11
0.19003963,0.80996037,2023-07-12
0.39081332,0.6091867,2023-07-13
0.7955279,0.20447211,2023-07-14
0.803096,0.196904,2023-07-17
0.89247537,0.1075246,2023-07-18
0.7499407,0.25005928,2023-07-19
0.48926404,0.5107359,2023-07-20
0.72327274,0.2767273,2023-07-21
0.91703814,0.08296185,2023-07-24
0.93306476,0.06693523,2023-07-25
0.8551752,0.14482479,2023-07-26
0.3430143,0.6569857,2023-07-27
0.3822938,0.6177062,2023-07-28
0.67995656,0.32004344,2023-07-31
0.2786377,0.7213623,2023-08-01
0.3548546,0.6451454,2023-08-02
0.42930493,0.5706951,2023-08-03
0.6676819,0.33231813,2023-08-04
0.35823014,0.6417699,2023-08-07
0.5459965,0.45400348,2023-08-08
0.46727297,0.532727,2023-08-09
0.6284084,0.37159163,2023-08-10
0.586715,0.41328505,2023-08-11
0.76711136,0.23288865,2023-08-14
0.7363777,0.26362228,2023-08-15
