cash,KO,date
0.17681976,0.82318026,2022-06-01
0.47832298,0.521677,2022-06-02
0.5947582,0.40524176,2022-06-03
0.11116208,0.88883793,2022-06-06
0.088491715,0.91150826,2022-06-07
0.33183324,0.66816676,2022-06-08
0.13443805,0.86556196,2022-06-09
0.21530178,0.7846982,2022-06-10
0.25087056,0.7491294,2022-06-13
0.31870857,0.68129146,2022-06-14
0.35905853,0.64094144,2022-06-15
0.2034273,0.7965727,2022-06-16
0.17527975,0.82472026,2022-06-17
0.088417694,0.9115823,2022-06-21
0.5615131,0.43848684,2022-06-22
0.61150986,0.38849014,2022-06-23
0.27187237,0.72812766,2022-06-24
0.58073366,0.41926634,2022-06-27
0.5092744,0.49072555,2022-06-28
0.22826844,0.77173156,2022-06-29
0.22321826,0.77678174,2022-06-30
0.20680226,0.79319775,2022-07-01
0.36283192,0.63716805,2022-07-05
0.19729964,0.80270034,2022-07-06
0.18417953,0.81582046,2022-07-07
0.10773226,0.89226776,2022-07-08
0.12792617,0.8720738,2022-07-11
0.07216255,0.92783743,2022-07-12
0.05118443,0.9488156,2022-07-13
0.08186203,0.91813797,2022-07-14
0.13297066,0.8670293,2022-07-15
0.0699903,0.9300097,2022-07-18
0.07722173,0.92277825,2022-07-19
0.31242758,0.6875724,2022-07-20
0.17789994,0.82210004,2022-07-21
0.14556801,0.854432,2022-07-22
0.18108691,0.8189131,2022-07-25
0.2586137,0.7413863,2022-07-26
0.20883925,0.79116076,2022-07-27
0.37333792,0.6266621,2022-07-28
0.5742741,0.42572585,2022-07-29
0.5321916,0.4678084,2022-08-01
0.38518316,0.61481684,2022-08-02
0.11787901,0.88212097,2022-08-03
0.30932045,0.69067955,2022-08-04
0.1405856,0.8594144,2022-08-05
0.06227556,0.9377245,2022-08-08
0.08241315,0.91758686,2022-08-09
0.12581542,0.87418455,2022-08-10
0.19849977,0.80150026,2022-08-11
0.3421398,0.65786016,2022-08-12
0.48358318,0.5164168,2022-08-15
0.53870755,0.46129248,2022-08-16
0.5638504,0.4361496,2022-08-17
0.41463393,0.5853661,2022-08-18
0.49768233,0.50231767,2022-08-19
0.40430778,0.5956922,2022-08-22
0.17971563,0.82028437,2022-08-23
0.3323155,0.6676845,2022-08-24
0.19108586,0.8089141,2022-08-25
0.20869298,0.79130703,2022-08-26
0.12964514,0.8703549,2022-08-29
0.082466215,0.91753376,2022-08-30
0.099539794,0.9004602,2022-08-31
0.07050818,0.9294918,2022-09-01
0.10983536,0.8901647,2022-09-02
0.23693605,0.76306397,2022-09-06
0.15201119,0.84798884,2022-09-07
0.34483317,0.6551668,2022-09-08
0.14617963,0.8538204,2022-09-09
0.1568456,0.84315443,2022-09-12
0.13311549,0.8668845,2022-09-13
0.08356969,0.9164303,2022-09-14
0.086892426,0.9131076,2022-09-15
0.048532374,0.95146763,2022-09-16
0.051140733,0.9488593,2022-09-19
0.1127717,0.8872283,2022-09-20
0.08177206,0.918228,2022-09-21
0.08788205,0.91211796,2022-09-22
0.116339006,0.883661,2022-09-23
0.12941207,0.87058794,2022-09-26
0.073447965,0.92655206,2022-09-27
0.08184164,0.91815835,2022-09-28
0.12629007,0.8737099,2022-09-29
0.07861612,0.92138386,2022-09-30
0.04759544,0.95240456,2022-10-03
0.09806607,0.9019339,2022-10-04
0.15904617,0.8409538,2022-10-05
0.07138064,0.9286194,2022-10-06
0.06773362,0.93226635,2022-10-07
0.080348305,0.9196517,2022-10-10
0.096826546,0.90317345,2022-10-11
0.045247566,0.95475245,2022-10-12
0.08441764,0.91558236,2022-10-13
0.32079506,0.67920494,2022-10-14
0.109246455,0.89075357,2022-10-17
0.29053098,0.709469,2022-10-18
0.5988859,0.40111408,2022-10-19
0.4126647,0.5873353,2022-10-20
0.092917494,0.9070825,2022-10-21
0.47761166,0.52238834,2022-10-24
0.35841,0.64159,2022-10-25
0.27659217,0.7234078,2022-10-26
0.28914216,0.71085787,2022-10-27
0.24189268,0.7581073,2022-10-28
0.43349457,0.56650543,2022-10-31
0.10367448,0.8963255,2022-11-01
0.14448933,0.85551065,2022-11-02
0.07993746,0.92006254,2022-11-03
0.17480011,0.8251999,2022-11-04
0.12578,0.87422,2022-11-07
0.11769378,0.8823062,2022-11-08
0.10325422,0.8967458,2022-11-09
0.0627574,0.93724257,2022-11-10
0.3656322,0.63436776,2022-11-11
0.304608,0.695392,2022-11-14
0.10355518,0.8964448,2022-11-15
0.15321606,0.84678394,2022-11-16
0.14958467,0.85041535,2022-11-17
0.14212875,0.85787123,2022-11-18
0.111233175,0.8887668,2022-11-21
0.2286611,0.7713389,2022-11-22
0.15337951,0.8466205,2022-11-23
0.1849458,0.8150542,2022-11-25
0.18038931,0.8196107,2022-11-28
0.06898754,0.93101245,2022-11-29
0.09444407,0.9055559,2022-11-30
0.31027684,0.68972313,2022-12-01
0.18885927,0.8111407,2022-12-02
0.24568602,0.754314,2022-12-05
0.10912582,0.89087415,2022-12-06
0.15431754,0.84568244,2022-12-07
0.14157541,0.8584246,2022-12-08
0.17121895,0.82878107,2022-12-09
0.061639372,0.93836063,2022-12-12
0.28594816,0.71405184,2022-12-13
0.105029196,0.89497083,2022-12-14
0.0584514,0.9415486,2022-12-15
0.09743438,0.9025656,2022-12-16
0.10816348,0.8918365,2022-12-19
0.132862,0.867138,2022-12-20
0.08738814,0.91261184,2022-12-21
0.19304663,0.8069534,2022-12-22
0.049572136,0.9504279,2022-12-23
0.25295308,0.7470469,2022-12-27
0.34124634,0.65875363,2022-12-28
0.19796279,0.8020372,2022-12-29
0.31033272,0.6896673,2022-12-30
0.23571171,0.7642883,2023-01-03
0.1194713,0.8805287,2023-01-04
0.09658791,0.9034121,2023-01-05
0.07732437,0.9226756,2023-01-06
0.38181683,0.6181832,2023-01-09
0.26432773,0.73567224,2023-01-10
0.16865782,0.83134216,2023-01-11
0.20009874,0.79990125,2023-01-12
0.09912933,0.9008707,2023-01-13
0.1185153,0.8814847,2023-01-17
0.07883889,0.9211611,2023-01-18
0.08811147,0.91188854,2023-01-19
0.07201472,0.92798525,2023-01-20
0.11229607,0.88770396,2023-01-23
0.06277906,0.93722093,2023-01-24
0.20813876,0.79186124,2023-01-25
0.3087765,0.6912235,2023-01-26
0.1532446,0.8467554,2023-01-27
0.0900669,0.9099331,2023-01-30
0.1341654,0.8658346,2023-01-31
0.20018883,0.7998112,2023-02-01
0.18009408,0.81990594,2023-02-02
0.15623501,0.84376496,2023-02-03
0.18686658,0.8131334,2023-02-06
0.2577079,0.7422921,2023-02-07
0.10808239,0.8919176,2023-02-08
0.06773154,0.93226844,2023-02-09
0.08047022,0.9195298,2023-02-10
0.11195058,0.8880494,2023-02-13
0.23336251,0.7666375,2023-02-14
0.114736915,0.8852631,2023-02-15
0.1158051,0.8841949,2023-02-16
0.11076831,0.8892317,2023-02-17
0.19167313,0.80832684,2023-02-21
0.05979996,0.94020003,2023-02-22
0.13093261,0.8690674,2023-02-23
0.15367226,0.8463277,2023-02-24
0.15663233,0.8433677,2023-02-27
0.117589064,0.88241094,2023-02-28
0.051278055,0.94872195,2023-03-01
0.05609135,0.94390863,2023-03-02
0.32212782,0.6778722,2023-03-03
