cash,GOOG,date
0.20572965,0.79427034,2023-10-25
0.08218295,0.91781706,2023-10-26
0.06250142,0.93749857,2023-10-27
0.052398417,0.94760156,2023-10-30
0.5621633,0.4378367,2023-10-31
0.73306614,0.26693383,2023-11-01
0.8830216,0.11697838,2023-11-02
0.88803,0.11197001,2023-11-03
0.86075735,0.13924263,2023-11-06
0.7772142,0.22278579,2023-11-07
0.4648143,0.5351857,2023-11-08
0.28469667,0.71530336,2023-11-09
0.2966225,0.7033775,2023-11-10
0.21630755,0.7836925,2023-11-13
0.1969398,0.8030602,2023-11-14
0.28831765,0.7116824,2023-11-15
0.28328076,0.71671927,2023-11-16
0.3886815,0.6113185,2023-11-17
0.350972,0.649028,2023-11-20
0.520196,0.47980398,2023-11-21
0.1777851,0.8222149,2023-11-22
0.2535872,0.7464128,2023-11-24
0.26338896,0.736611,2023-11-27
0.24555792,0.7544421,2023-11-28
0.18609226,0.81390774,2023-11-29
0.27945352,0.7205465,2023-11-30
0.19333501,0.806665,2023-12-01
0.16386853,0.83613145,2023-12-04
0.17044921,0.8295508,2023-12-05
0.24839528,0.75160474,2023-12-06
0.39248875,0.6075112,2023-12-07
0.47963375,0.52036625,2023-12-08
0.39723516,0.60276484,2023-12-11
0.36196652,0.6380335,2023-12-12
0.19762702,0.802373,2023-12-13
0.28434446,0.71565557,2023-12-14
