cash,WMT,date
0.2467728,0.7532272,2023-10-16
0.27930456,0.72069544,2023-10-17
0.29628724,0.70371276,2023-10-18
0.37939778,0.62060225,2023-10-19
0.52345896,0.47654104,2023-10-20
0.73582685,0.26417318,2023-10-23
0.8197567,0.18024331,2023-10-24
0.73676926,0.26323077,2023-10-25
0.44747794,0.55252206,2023-10-26
0.440245,0.559755,2023-10-27
0.53287405,0.46712595,2023-10-30
0.630845,0.369155,2023-10-31
0.5291393,0.47086072,2023-11-01
0.48875615,0.5112439,2023-11-02
0.4367012,0.5632988,2023-11-03
0.5497034,0.45029655,2023-11-06
0.67258435,0.32741565,2023-11-07
0.74117965,0.25882035,2023-11-08
0.65202516,0.34797487,2023-11-09
0.7352234,0.26477662,2023-11-10
0.835525,0.16447504,2023-11-13
0.64067584,0.35932413,2023-11-14
0.44051912,0.5594809,2023-11-15
0.4216992,0.57830083,2023-11-16
0.08887422,0.9111258,2023-11-17
0.2026695,0.7973305,2023-11-20
0.28593028,0.7140697,2023-11-21
0.1051859,0.8948141,2023-11-22
0.12957154,0.87042844,2023-11-24
0.09570884,0.90429115,2023-11-27
0.068900324,0.93109965,2023-11-28
0.05036578,0.9496342,2023-11-29
0.046494536,0.95350546,2023-11-30
0.06179281,0.9382072,2023-12-01
0.41526717,0.58473283,2023-12-04
0.42146137,0.5785386,2023-12-05
0.573236,0.42676404,2023-12-06
0.31324685,0.68675315,2023-12-07
0.36259636,0.6374036,2023-12-08
0.34263104,0.65736896,2023-12-11
0.34559596,0.65440404,2023-12-12
0.30308366,0.69691634,2023-12-13
0.21732819,0.7826718,2023-12-14
