cash,GOOG,date
0.003670812,0.9963292,2023-10-23
0.35661826,0.6433818,2023-10-24
0.06465102,0.935349,2023-10-25
0.004173212,0.9958268,2023-10-26
0.0044216546,0.99557835,2023-10-27
0.004363051,0.99563694,2023-10-30
0.11641427,0.88358575,2023-10-31
0.016137067,0.98386294,2023-11-01
0.68057686,0.31942314,2023-11-02
0.0050564725,0.9949435,2023-11-03
0.05302346,0.94697654,2023-11-06
0.084543966,0.91545606,2023-11-07
0.19072288,0.8092771,2023-11-08
0.075075425,0.92492455,2023-11-09
0.0044608074,0.9955392,2023-11-10
0.31921783,0.68078214,2023-11-13
0.007899143,0.99210083,2023-11-14
0.011043826,0.98895615,2023-11-15
0.0049551795,0.9950448,2023-11-16
0.16631816,0.8336818,2023-11-17
0.0037648838,0.99623513,2023-11-20
0.059391033,0.940609,2023-11-21
0.009986845,0.9900132,2023-11-22
0.10537563,0.89462435,2023-11-24
0.009467734,0.9905323,2023-11-27
0.039638605,0.9603614,2023-11-28
0.011187511,0.9888125,2023-11-29
0.0038549027,0.99614507,2023-11-30
0.0040714517,0.9959285,2023-12-01
0.008377069,0.9916229,2023-12-04
0.0048450152,0.995155,2023-12-05
0.92098784,0.07901213,2023-12-06
0.033560835,0.9664392,2023-12-07
0.903887,0.09611303,2023-12-08
0.6476304,0.3523696,2023-12-11
0.5404363,0.4595637,2023-12-12
0.0069544762,0.9930455,2023-12-13
0.011461909,0.9885381,2023-12-14
