cash,WMT,date
0.7359175,0.2640825,2023-10-17
0.7057547,0.29424527,2023-10-18
0.8387426,0.16125739,2023-10-19
0.87416375,0.12583627,2023-10-20
0.9172836,0.08271643,2023-10-23
0.9294543,0.07054565,2023-10-24
0.92287683,0.07712319,2023-10-25
0.9163854,0.0836146,2023-10-26
0.91467196,0.085328065,2023-10-27
0.80909216,0.19090782,2023-10-30
0.8393911,0.16060889,2023-10-31
0.8828173,0.11718267,2023-11-01
0.9039541,0.09604589,2023-11-02
0.8668164,0.13318358,2023-11-03
0.92109835,0.07890168,2023-11-06
0.9200249,0.07997511,2023-11-07
0.9368399,0.06316013,2023-11-08
0.93556017,0.06443984,2023-11-09
0.9304167,0.06958328,2023-11-10
0.92837083,0.07162919,2023-11-13
0.9115388,0.08846125,2023-11-14
0.93355596,0.06644404,2023-11-15
0.9056032,0.094396815,2023-11-16
0.28672665,0.71327335,2023-11-17
0.2496659,0.7503341,2023-11-20
0.28832096,0.71167904,2023-11-21
0.21554206,0.7844579,2023-11-22
0.21018055,0.7898195,2023-11-24
0.07200206,0.92799795,2023-11-27
0.08006779,0.9199322,2023-11-28
0.070868395,0.9291316,2023-11-29
0.1126692,0.8873308,2023-11-30
0.08819777,0.91180223,2023-12-01
0.6396963,0.36030373,2023-12-04
0.60344696,0.39655307,2023-12-05
0.8782334,0.121766634,2023-12-06
0.80054724,0.19945274,2023-12-07
0.73681974,0.26318026,2023-12-08
0.5321659,0.46783414,2023-12-11
0.47453678,0.5254632,2023-12-12
0.38669065,0.6133093,2023-12-13
0.78398633,0.21601367,2023-12-14
