cash,KO,date
0.45984834,0.54015166,2022-06-01
0.33881533,0.66118467,2022-06-02
0.28232545,0.71767455,2022-06-03
0.107271835,0.89272815,2022-06-06
0.093488336,0.90651166,2022-06-07
0.09840971,0.9015903,2022-06-08
0.09496078,0.90503925,2022-06-09
0.121043414,0.8789566,2022-06-10
0.08855525,0.9114448,2022-06-13
0.15958166,0.84041834,2022-06-14
0.18745014,0.8125498,2022-06-15
0.17817457,0.82182544,2022-06-16
0.1133241,0.8866759,2022-06-17
0.2379964,0.7620036,2022-06-21
0.34380883,0.6561912,2022-06-22
0.6115155,0.38848448,2022-06-23
0.7511661,0.24883386,2022-06-24
0.8282478,0.1717522,2022-06-27
0.805602,0.19439799,2022-06-28
0.6130362,0.38696378,2022-06-29
0.6130076,0.38699237,2022-06-30
0.5168212,0.4831788,2022-07-01
0.72936136,0.2706386,2022-07-05
0.34555086,0.65444916,2022-07-06
0.37252712,0.6274729,2022-07-07
0.09251698,0.90748304,2022-07-08
0.1955326,0.8044674,2022-07-11
0.101887874,0.8981121,2022-07-12
0.076811194,0.9231888,2022-07-13
0.0625006,0.9374994,2022-07-14
0.070815854,0.92918414,2022-07-15
0.15781142,0.8421886,2022-07-18
0.08685789,0.9131421,2022-07-19
0.21651135,0.78348863,2022-07-20
0.0920433,0.9079567,2022-07-21
0.07629381,0.9237062,2022-07-22
0.07241128,0.9275887,2022-07-25
0.19843678,0.8015632,2022-07-26
0.6206337,0.37936628,2022-07-27
0.6140783,0.38592172,2022-07-28
0.82357395,0.17642607,2022-07-29
0.7232861,0.27671388,2022-08-01
0.754096,0.24590403,2022-08-02
0.30860892,0.69139105,2022-08-03
0.32095617,0.6790438,2022-08-04
0.11764337,0.88235664,2022-08-05
0.08955656,0.9104434,2022-08-08
0.07255333,0.92744666,2022-08-09
0.094918266,0.90508175,2022-08-10
0.17526081,0.8247392,2022-08-11
0.09507504,0.904925,2022-08-12
0.19024608,0.8097539,2022-08-15
0.47872636,0.5212737,2022-08-16
0.68029875,0.31970128,2022-08-17
0.62789744,0.37210256,2022-08-18
0.67768186,0.32231814,2022-08-19
0.50519484,0.49480516,2022-08-22
0.09844994,0.90155005,2022-08-23
0.08618987,0.91381013,2022-08-24
0.11226968,0.8877303,2022-08-25
0.14448981,0.8555102,2022-08-26
0.140484,0.85951596,2022-08-29
0.059778694,0.9402213,2022-08-30
0.0813758,0.9186242,2022-08-31
0.1536586,0.84634143,2022-09-01
0.20685317,0.79314685,2022-09-02
0.1951891,0.8048109,2022-09-06
0.16857515,0.83142483,2022-09-07
0.33506072,0.6649393,2022-09-08
0.35314268,0.6468573,2022-09-09
0.4220553,0.5779447,2022-09-12
0.29202887,0.70797116,2022-09-13
0.16855736,0.83144265,2022-09-14
0.11589631,0.8841037,2022-09-15
0.10567561,0.8943244,2022-09-16
0.20119852,0.7988015,2022-09-19
0.1266079,0.8733921,2022-09-20
0.10897618,0.8910238,2022-09-21
0.19862753,0.80137247,2022-09-22
0.107122995,0.892877,2022-09-23
0.15141332,0.8485867,2022-09-26
0.19927692,0.8007231,2022-09-27
0.16940597,0.830594,2022-09-28
0.20041703,0.79958296,2022-09-29
0.15766063,0.8423394,2022-09-30
0.18880832,0.8111917,2022-10-03
0.17532842,0.82467157,2022-10-04
0.26264223,0.73735774,2022-10-05
0.18430589,0.8156941,2022-10-06
0.17372228,0.82627773,2022-10-07
0.09282131,0.9071787,2022-10-10
0.09831713,0.90168285,2022-10-11
0.12068636,0.87931365,2022-10-12
0.26437524,0.73562473,2022-10-13
0.45115378,0.5488462,2022-10-14
0.25271043,0.7472896,2022-10-17
0.43556592,0.5644341,2022-10-18
0.700621,0.299379,2022-10-19
0.599729,0.400271,2022-10-20
0.18244888,0.81755114,2022-10-21
0.26322752,0.7367725,2022-10-24
0.7254281,0.27457193,2022-10-25
0.8659674,0.13403258,2022-10-26
0.8591159,0.14088412,2022-10-27
0.800472,0.199528,2022-10-28
0.8163642,0.18363579,2022-10-31
0.69855475,0.30144522,2022-11-01
0.65874666,0.34125334,2022-11-02
0.18735869,0.8126413,2022-11-03
0.18221262,0.8177874,2022-11-04
0.18687896,0.813121,2022-11-07
0.31512973,0.6848703,2022-11-08
0.2612704,0.7387296,2022-11-09
0.078132346,0.92186767,2022-11-10
0.65368843,0.34631157,2022-11-11
0.7351004,0.2648996,2022-11-14
0.5958515,0.40414852,2022-11-15
0.40593752,0.5940625,2022-11-16
0.2311567,0.7688433,2022-11-17
0.28754628,0.7124537,2022-11-18
0.44153813,0.5584619,2022-11-21
0.6984821,0.3015179,2022-11-22
0.7265171,0.27348295,2022-11-23
0.74218726,0.25781274,2022-11-25
0.6749912,0.3250088,2022-11-28
0.47060418,0.5293958,2022-11-29
0.21978126,0.7802187,2022-11-30
0.5427628,0.4572372,2022-12-01
0.5331763,0.4668237,2022-12-02
0.63249385,0.36750615,2022-12-05
0.29479232,0.7052077,2022-12-06
0.16470875,0.83529127,2022-12-07
0.09537562,0.9046244,2022-12-08
0.17684044,0.8231596,2022-12-09
0.083172955,0.916827,2022-12-12
0.20763475,0.79236525,2022-12-13
0.16693889,0.8330611,2022-12-14
0.16516455,0.83483547,2022-12-15
0.094943725,0.9050563,2022-12-16
0.1653722,0.8346278,2022-12-19
0.07207832,0.92792165,2022-12-20
0.06274308,0.93725693,2022-12-21
0.27465728,0.7253427,2022-12-22
0.14074625,0.85925376,2022-12-23
0.43239695,0.56760305,2022-12-27
0.5224143,0.47758567,2022-12-28
0.22842859,0.7715714,2022-12-29
0.31299952,0.6870005,2022-12-30
0.12005694,0.8799431,2023-01-03
0.102032304,0.8979677,2023-01-04
0.08470288,0.9152971,2023-01-05
0.048759267,0.9512407,2023-01-06
0.18957257,0.8104274,2023-01-09
0.092188455,0.9078115,2023-01-10
0.085212626,0.91478735,2023-01-11
0.09760358,0.90239644,2023-01-12
0.11666892,0.88333106,2023-01-13
0.1433733,0.8566267,2023-01-17
0.19311075,0.80688924,2023-01-18
0.17843947,0.82156056,2023-01-19
0.16599764,0.8340024,2023-01-20
0.12122664,0.87877333,2023-01-23
0.1849945,0.8150055,2023-01-24
0.28980082,0.7101992,2023-01-25
0.34722087,0.65277916,2023-01-26
0.27847496,0.721525,2023-01-27
0.14930642,0.8506936,2023-01-30
0.1631588,0.83684117,2023-01-31
0.3541986,0.6458014,2023-02-01
0.27468967,0.7253103,2023-02-02
0.12187811,0.8781219,2023-02-03
0.096268475,0.9037315,2023-02-06
0.07066009,0.9293399,2023-02-07
0.088418566,0.91158146,2023-02-08
0.07125998,0.92874,2023-02-09
0.06714948,0.93285054,2023-02-10
0.08505368,0.9149463,2023-02-13
0.2856513,0.7143487,2023-02-14
0.19642428,0.80357575,2023-02-15
0.12590376,0.8740962,2023-02-16
0.10133031,0.8986697,2023-02-17
0.24170694,0.75829303,2023-02-21
0.123039745,0.8769603,2023-02-22
0.22057694,0.77942306,2023-02-23
0.20971972,0.7902803,2023-02-24
0.2526581,0.74734193,2023-02-27
0.20402865,0.79597133,2023-02-28
0.10789981,0.8921002,2023-03-01
0.060634155,0.93936586,2023-03-02
0.15251194,0.84748805,2023-03-03
0.070950314,0.9290497,2023-03-06
0.3678472,0.6321528,2023-03-07
0.17165384,0.8283462,2023-03-08
0.26184067,0.7381593,2023-03-09
0.1316058,0.8683942,2023-03-10
0.08822509,0.91177493,2023-03-13
0.30381528,0.6961847,2023-03-14
0.2912546,0.7087454,2023-03-15
0.37423712,0.6257629,2023-03-16
0.21678029,0.7832197,2023-03-17
0.19740012,0.80259985,2023-03-20
0.2616788,0.7383212,2023-03-21
0.1235027,0.8764973,2023-03-22
0.09753507,0.9024649,2023-03-23
0.06940953,0.93059045,2023-03-24
0.28237015,0.71762985,2023-03-27
0.48453245,0.5154676,2023-03-28
0.57825845,0.42174155,2023-03-29
0.6596775,0.3403225,2023-03-30
0.60495776,0.3950422,2023-03-31
0.4681616,0.53183836,2023-04-03
0.50008196,0.49991804,2023-04-04
0.36150104,0.63849896,2023-04-05
0.43872532,0.56127465,2023-04-06
0.41554978,0.58445024,2023-04-10
0.3483488,0.6516512,2023-04-11
0.1711365,0.8288635,2023-04-12
0.14550896,0.85449106,2023-04-13
0.23120071,0.7687993,2023-04-14
0.19989051,0.8001095,2023-04-17
0.30714387,0.69285613,2023-04-18
0.30959538,0.69040465,2023-04-19
0.2743225,0.7256775,2023-04-20
0.25374216,0.74625784,2023-04-21
0.24710463,0.75289536,2023-04-24
0.25221226,0.7477877,2023-04-25
0.15784146,0.84215856,2023-04-26
0.09895115,0.90104884,2023-04-27
0.13649602,0.863504,2023-04-28
0.18154551,0.8184545,2023-05-01
0.21344809,0.7865519,2023-05-02
0.1145045,0.8854955,2023-05-03
0.06985866,0.9301413,2023-05-04
0.08237331,0.9176267,2023-05-05
0.12726648,0.87273353,2023-05-08
0.17763118,0.8223688,2023-05-09
0.06524867,0.93475133,2023-05-10
0.065117225,0.93488276,2023-05-11
0.10040088,0.89959913,2023-05-12
0.18529606,0.81470394,2023-05-15
0.15226443,0.8477356,2023-05-16
0.060415253,0.93958473,2023-05-17
0.070789844,0.9292102,2023-05-18
0.08703047,0.9129695,2023-05-19
0.1250168,0.8749832,2023-05-22
0.13436916,0.8656308,2023-05-23
0.10555949,0.89444053,2023-05-24
0.087215796,0.9127842,2023-05-25
0.12679574,0.8732043,2023-05-26
0.12478151,0.8752185,2023-05-30
0.14164372,0.8583563,2023-05-31
0.18052699,0.819473,2023-06-01
0.12945108,0.8705489,2023-06-02
0.43550405,0.5644959,2023-06-05
0.32635722,0.67364275,2023-06-06
0.15351868,0.8464813,2023-06-07
0.09668171,0.9033183,2023-06-08
0.10166274,0.89833724,2023-06-09
0.1097769,0.8902231,2023-06-12
0.08242767,0.9175723,2023-06-13
0.103103824,0.8968962,2023-06-14
0.16867018,0.8313298,2023-06-15
0.2778447,0.7221553,2023-06-16
0.42260653,0.5773935,2023-06-20
0.2342387,0.7657613,2023-06-21
0.20373574,0.79626423,2023-06-22
0.24523006,0.7547699,2023-06-23
0.1393278,0.86067224,2023-06-26
0.092763044,0.90723693,2023-06-27
0.086912565,0.9130874,2023-06-28
0.049670264,0.9503297,2023-06-29
0.07957618,0.9204238,2023-06-30
0.101216376,0.8987836,2023-07-03
0.13110362,0.86889637,2023-07-05
0.18999425,0.8100058,2023-07-06
0.09458957,0.9054104,2023-07-07
0.07226316,0.9277368,2023-07-10
0.085062094,0.9149379,2023-07-11
0.088471435,0.9115286,2023-07-12
0.108118825,0.89188117,2023-07-13
0.2609875,0.7390125,2023-07-14
0.5040293,0.49597073,2023-07-17
0.5044796,0.4955204,2023-07-18
0.27375197,0.726248,2023-07-19
0.58673304,0.413267,2023-07-20
0.7787219,0.22127806,2023-07-21
0.7265856,0.27341437,2023-07-24
0.6335784,0.36642155,2023-07-25
