cash,TSM,date
0.03727999,0.96272004,2022-06-29
0.02384842,0.9761516,2022-06-30
0.073246375,0.92675364,2022-07-01
0.07538111,0.9246189,2022-07-05
0.07311726,0.92688274,2022-07-06
0.13718393,0.8628161,2022-07-07
0.42603096,0.57396907,2022-07-08
0.07231583,0.9276842,2022-07-11
0.018283978,0.98171604,2022-07-12
0.13344698,0.866553,2022-07-13
0.76286846,0.23713155,2022-07-14
0.5067048,0.4932952,2022-07-15
0.29484165,0.70515835,2022-07-18
0.17911966,0.82088035,2022-07-19
0.7718898,0.22811018,2022-07-20
0.70348626,0.29651374,2022-07-21
0.6843957,0.3156043,2022-07-22
0.16497421,0.8350258,2022-07-25
0.4264767,0.57352334,2022-07-26
0.12437665,0.87562335,2022-07-27
0.7899639,0.21003613,2022-07-28
0.58549935,0.41450068,2022-07-29
0.12934369,0.8706563,2022-08-01
0.36486328,0.6351367,2022-08-02
0.9319187,0.068081304,2022-08-03
0.6376303,0.36236972,2022-08-04
0.40107992,0.5989201,2022-08-05
0.75315124,0.24684878,2022-08-08
0.14137556,0.85862446,2022-08-09
0.1826721,0.8173279,2022-08-10
0.8499611,0.1500389,2022-08-11
0.21895653,0.78104347,2022-08-12
0.1511835,0.8488165,2022-08-15
0.43105558,0.56894445,2022-08-16
0.5498376,0.4501624,2022-08-17
0.08449015,0.9155098,2022-08-18
0.09982655,0.9001734,2022-08-19
0.033850692,0.96614933,2022-08-22
0.04058731,0.9594127,2022-08-23
0.14420219,0.8557978,2022-08-24
0.075608954,0.92439103,2022-08-25
0.17965572,0.82034427,2022-08-26
0.2305788,0.7694212,2022-08-29
0.07212757,0.9278724,2022-08-30
0.2737486,0.7262514,2022-08-31
0.08558348,0.9144165,2022-09-01
0.027111523,0.97288847,2022-09-02
0.11777158,0.88222843,2022-09-06
0.049948983,0.950051,2022-09-07
0.19989485,0.80010515,2022-09-08
0.19128984,0.80871016,2022-09-09
0.101545215,0.8984548,2022-09-12
0.13035294,0.8696471,2022-09-13
0.15602961,0.8439704,2022-09-14
0.11904342,0.8809566,2022-09-15
0.08742106,0.91257894,2022-09-16
0.02754261,0.9724574,2022-09-19
0.18350151,0.81649846,2022-09-20
0.04142269,0.95857733,2022-09-21
0.07733422,0.9226658,2022-09-22
0.04295442,0.95704556,2022-09-23
0.045136046,0.95486397,2022-09-26
0.038913433,0.9610866,2022-09-27
0.07731291,0.9226871,2022-09-28
0.09299342,0.90700656,2022-09-29
0.064637534,0.93536246,2022-09-30
0.2062231,0.7937769,2022-10-03
0.27424556,0.72575444,2022-10-04
0.5153763,0.48462367,2022-10-05
0.3589282,0.6410718,2022-10-06
0.12770626,0.8722937,2022-10-07
0.10753371,0.8924663,2022-10-10
0.1526025,0.8473975,2022-10-11
0.072795115,0.9272049,2022-10-12
0.012155834,0.98784417,2022-10-13
0.83983487,0.16016516,2022-10-14
0.070892245,0.9291078,2022-10-17
0.014680214,0.9853198,2022-10-18
0.17514807,0.82485193,2022-10-19
0.07062105,0.9293789,2022-10-20
0.04167406,0.9583259,2022-10-21
0.12427439,0.8757256,2022-10-24
0.046910927,0.95308906,2022-10-25
0.14699076,0.8530092,2022-10-26
0.08398898,0.91601104,2022-10-27
0.053351723,0.9466483,2022-10-28
0.57887846,0.4211215,2022-10-31
0.1696327,0.83036727,2022-11-01
0.37789375,0.62210625,2022-11-02
0.45447686,0.5455231,2022-11-03
0.4031045,0.59689546,2022-11-04
0.7042699,0.29573008,2022-11-07
0.41280943,0.58719057,2022-11-08
0.56074744,0.43925256,2022-11-09
0.69228977,0.30771026,2022-11-10
0.65379316,0.34620684,2022-11-11
0.68325967,0.31674033,2022-11-14
0.6167625,0.3832375,2022-11-15
0.534194,0.46580604,2022-11-16
0.7600231,0.23997685,2022-11-17
0.7872824,0.21271758,2022-11-18
0.750109,0.24989098,2022-11-21
0.45480672,0.5451933,2022-11-22
0.4592812,0.5407188,2022-11-23
0.16903839,0.8309616,2022-11-25
0.032144587,0.9678554,2022-11-28
0.030247869,0.96975213,2022-11-29
0.032848377,0.96715164,2022-11-30
0.77178454,0.22821549,2022-12-01
0.17484532,0.82515466,2022-12-02
0.014275134,0.98572487,2022-12-05
0.10531848,0.8946815,2022-12-06
0.17856118,0.82143885,2022-12-07
0.02670376,0.9732962,2022-12-08
0.33847734,0.6615226,2022-12-09
0.027181596,0.97281843,2022-12-12
0.05777268,0.9422273,2022-12-13
0.33128685,0.66871315,2022-12-14
0.48850343,0.5114966,2022-12-15
0.09956025,0.90043974,2022-12-16
0.15457799,0.845422,2022-12-19
0.09993103,0.900069,2022-12-20
0.09202629,0.9079737,2022-12-21
0.24299712,0.7570029,2022-12-22
0.17312072,0.82687926,2022-12-23
0.17019367,0.8298063,2022-12-27
0.11566697,0.884333,2022-12-28
0.1631316,0.8368684,2022-12-29
0.57642365,0.42357638,2022-12-30
0.045965295,0.9540347,2023-01-03
0.111232236,0.8887678,2023-01-04
0.8066558,0.19334419,2023-01-05
0.075144574,0.9248554,2023-01-06
0.58247167,0.41752833,2023-01-09
0.36780903,0.63219094,2023-01-10
0.5796068,0.42039323,2023-01-11
0.5722821,0.42771792,2023-01-12
0.6813722,0.31862777,2023-01-13
0.7177899,0.2822101,2023-01-17
0.8079612,0.19203879,2023-01-18
0.7788596,0.22114037,2023-01-19
0.76204103,0.23795894,2023-01-20
0.7666679,0.23333211,2023-01-23
0.822123,0.177877,2023-01-24
0.93208027,0.06791972,2023-01-25
0.2516,0.74840003,2023-01-26
0.6412737,0.3587263,2023-01-27
0.6534588,0.3465412,2023-01-30
0.08040268,0.9195973,2023-01-31
0.47316423,0.5268358,2023-02-01
0.8564163,0.14358373,2023-02-02
0.44240594,0.55759406,2023-02-03
0.15117845,0.8488215,2023-02-06
0.10550086,0.8944991,2023-02-07
0.93197703,0.06802295,2023-02-08
0.14173049,0.8582695,2023-02-09
0.4511341,0.5488659,2023-02-10
0.14806363,0.85193634,2023-02-13
0.37077004,0.62922996,2023-02-14
0.93090945,0.06909057,2023-02-15
0.14990883,0.85009116,2023-02-16
0.0298218,0.9701782,2023-02-17
0.068351306,0.9316487,2023-02-21
0.026496174,0.9735038,2023-02-22
0.02277441,0.9772256,2023-02-23
0.14471568,0.85528433,2023-02-24
0.015628625,0.98437136,2023-02-27
0.014383762,0.98561627,2023-02-28
0.05819622,0.94180375,2023-03-01
0.09322694,0.90677303,2023-03-02
0.21729587,0.7827041,2023-03-03
0.3690223,0.6309777,2023-03-06
0.21074235,0.78925765,2023-03-07
0.2921004,0.70789963,2023-03-08
0.93576634,0.06423364,2023-03-09
0.34278557,0.65721446,2023-03-10
