cash,AMD,GOOG,KO,TSM,WMT,date
0.13470607,0.29115978,0.11833757,0.06220238,0.17444853,0.21914567,2023-07-13
0.09374738,0.2868366,0.10363947,0.089508444,0.2271582,0.1991099,2023-07-14
0.24214642,0.07089353,0.06450284,0.044700384,0.11043033,0.4673265,2023-07-17
0.2869254,0.047044173,0.12283053,0.15394881,0.0820918,0.30715927,2023-07-18
0.16067167,0.029028308,0.12642683,0.4928822,0.055571984,0.13541903,2023-07-19
0.18739799,0.020237736,0.117584825,0.12923782,0.028790273,0.51675135,2023-07-20
0.16345637,0.02499133,0.14798623,0.32756916,0.03147268,0.30452424,2023-07-21
0.077757776,0.0580257,0.32312718,0.32826754,0.043269936,0.16955185,2023-07-24
0.075835235,0.066934444,0.3904072,0.26657403,0.07832454,0.121924564,2023-07-25
0.039549213,0.14056231,0.31621447,0.2613399,0.12507574,0.11725834,2023-07-26
0.068254285,0.0452324,0.1442817,0.3613649,0.055866517,0.3250002,2023-07-27
0.12307834,0.029751707,0.12353289,0.42739883,0.051122926,0.24511532,2023-07-28
0.07175743,0.067452624,0.21959314,0.3687475,0.09815549,0.1742938,2023-07-31
0.1534178,0.028000977,0.25904873,0.32334083,0.07432008,0.1618716,2023-08-01
0.13322815,0.19586189,0.10457892,0.1540414,0.19978288,0.21250677,2023-08-02
0.328013,0.015731083,0.0671707,0.056559235,0.03338599,0.49913996,2023-08-03
0.12789187,0.24054572,0.10604019,0.1328814,0.14282943,0.2498114,2023-08-04
0.12791696,0.15295193,0.090602584,0.17936555,0.09637727,0.3527857,2023-08-07
0.078092024,0.20498879,0.13590918,0.21751913,0.20557396,0.15791689,2023-08-08
0.110946484,0.07411283,0.07674519,0.19929783,0.09833982,0.44055784,2023-08-09
0.1494334,0.11344235,0.06984363,0.22602746,0.11738969,0.32386348,2023-08-10
0.16283005,0.15383923,0.10396551,0.13341504,0.17389363,0.27205652,2023-08-11
0.10955639,0.07516205,0.17901413,0.39723232,0.077987954,0.16104716,2023-08-14
0.081791595,0.3676729,0.15445933,0.109822296,0.16005336,0.12620053,2023-08-15
0.07240332,0.27510875,0.124000624,0.28252324,0.13907269,0.10689138,2023-08-16
0.078875355,0.21107338,0.15784112,0.29413387,0.13795243,0.12012384,2023-08-17
0.09241206,0.12423855,0.3415207,0.18601787,0.178119,0.07769183,2023-08-18
0.2509936,0.14483711,0.13448441,0.13273013,0.06597774,0.27097702,2023-08-21
0.043380413,0.21578789,0.3802782,0.20238204,0.054261044,0.1039104,2023-08-22
0.10875906,0.08071988,0.14654392,0.15747426,0.109310195,0.3971927,2023-08-23
0.16888823,0.057466187,0.16839583,0.15166709,0.054190677,0.39939198,2023-08-24
0.24159132,0.013341435,0.11698517,0.16293767,0.042215485,0.4229289,2023-08-25
0.11516473,0.062074024,0.0954077,0.14791465,0.047811553,0.53162736,2023-08-28
0.08809383,0.20935838,0.20344621,0.18639581,0.14214103,0.17056474,2023-08-29
0.07332961,0.07701197,0.29248163,0.18371083,0.069900304,0.30356565,2023-08-30
0.05589121,0.07517984,0.26176876,0.23812495,0.15558405,0.21345118,2023-08-31
0.11794138,0.013749884,0.18835747,0.4393472,0.05238511,0.18821894,2023-09-01
0.16774361,0.047206264,0.09523088,0.26157686,0.10868318,0.3195592,2023-09-05
0.21225777,0.12845297,0.10840244,0.16782007,0.116044104,0.26702264,2023-09-06
0.11961814,0.036757134,0.06328345,0.42315254,0.086069204,0.27111953,2023-09-07
0.1006399,0.014567553,0.17939885,0.45200506,0.028146263,0.22524238,2023-09-08
0.0997659,0.032754835,0.21129517,0.3409371,0.09108463,0.22416237,2023-09-11
0.08819008,0.032005023,0.13275912,0.32468966,0.05385348,0.36850265,2023-09-12
0.07991196,0.068125196,0.14252447,0.3397408,0.06533318,0.30436438,2023-09-13
0.10510479,0.25036216,0.14743753,0.09238667,0.219527,0.18518186,2023-09-14
0.18380636,0.050209932,0.1744514,0.13013901,0.18648016,0.27491313,2023-09-15
0.1892259,0.018738177,0.21585493,0.4292455,0.054434627,0.09250085,2023-09-18
0.15979756,0.20247452,0.26172838,0.091108225,0.124165624,0.16072571,2023-09-19
0.101227306,0.08278816,0.12930764,0.20274673,0.09626473,0.38766545,2023-09-20
0.24339737,0.054554593,0.13652152,0.10454551,0.058757257,0.40222374,2023-09-21
0.15956098,0.059961006,0.4070465,0.15382296,0.05076097,0.16884758,2023-09-22
0.10608476,0.10810703,0.46459785,0.16094458,0.06587936,0.09438643,2023-09-25
0.1568156,0.12348485,0.2046446,0.09112725,0.08498521,0.3389425,2023-09-26
0.15478967,0.08873332,0.14045766,0.16271706,0.08966746,0.36363482,2023-09-27
0.09776106,0.155455,0.41596293,0.17230454,0.08981826,0.06869823,2023-09-28
0.27124685,0.19499385,0.122895576,0.07403051,0.0962767,0.24055651,2023-09-29
0.17507832,0.1013403,0.2324043,0.29122135,0.14684433,0.0531114,2023-10-02
0.09491484,0.186703,0.23145641,0.20184104,0.16019918,0.12488553,2023-10-03
0.28515834,0.053278446,0.122382574,0.3723682,0.070180595,0.09663188,2023-10-04
0.20937221,0.13822944,0.24630782,0.20480086,0.0876985,0.11359118,2023-10-05
0.15065502,0.076485865,0.21184248,0.29286435,0.104942426,0.16320987,2023-10-06
0.20672843,0.14849661,0.18457396,0.22021583,0.12623326,0.113751896,2023-10-09
0.10585532,0.19585502,0.12549633,0.2520471,0.21347278,0.10727344,2023-10-10
0.15934537,0.1892539,0.14014173,0.288302,0.15751377,0.065443225,2023-10-11
0.13714537,0.044613056,0.2193065,0.27782103,0.092394136,0.2287199,2023-10-12
0.16797708,0.034313917,0.2424973,0.35084033,0.08085662,0.123514764,2023-10-13
0.15082783,0.0076024295,0.119988576,0.40943086,0.038399104,0.2737512,2023-10-16
0.1292821,0.038175892,0.14276388,0.34307268,0.100532465,0.24617296,2023-10-17
0.16701473,0.05426853,0.18443896,0.108381905,0.13856766,0.34732822,2023-10-18
0.06289824,0.016387813,0.0891946,0.41358456,0.028893279,0.3890415,2023-10-19
0.10214191,0.014214297,0.15703762,0.23251754,0.033843264,0.46024537,2023-10-20
0.15725915,0.03828321,0.2227823,0.20160924,0.08860938,0.29145673,2023-10-23
0.119941816,0.037679803,0.15641762,0.09208524,0.079437084,0.51443845,2023-10-24
0.054672614,0.116603844,0.1806296,0.2169894,0.123538986,0.30756557,2023-10-25
0.23007192,0.072483584,0.24614763,0.09829859,0.13671802,0.21628025,2023-10-26
0.12630603,0.2090544,0.19991937,0.055001482,0.100430965,0.30928776,2023-10-27
0.10792326,0.25988534,0.2520109,0.07491656,0.090797484,0.21446645,2023-10-30
0.09885719,0.29752415,0.13517892,0.042272158,0.14653146,0.2796361,2023-10-31
0.1521511,0.4446399,0.1630587,0.0352542,0.12145215,0.08344397,2023-11-01
0.15448143,0.4155209,0.08941667,0.034722377,0.15708998,0.14876865,2023-11-02
0.2652345,0.2952967,0.0698117,0.05915819,0.20509925,0.10539963,2023-11-03
0.17741233,0.37751013,0.08202209,0.034353778,0.25804928,0.07065241,2023-11-06
0.1266764,0.39615434,0.068351075,0.083915144,0.23236714,0.09253589,2023-11-07
0.10763593,0.42738718,0.055167466,0.06519163,0.26621947,0.07839834,2023-11-08
0.06113171,0.22856559,0.071262464,0.15686478,0.38986275,0.092312716,2023-11-09
0.07991268,0.17938913,0.083976135,0.25987348,0.22335517,0.1734934,2023-11-10
0.08648255,0.2389377,0.072320774,0.094030015,0.11116278,0.39706618,2023-11-13
0.11007896,0.16764553,0.049649827,0.09807122,0.4010872,0.17346726,2023-11-14
0.07781355,0.3740182,0.09400533,0.09337217,0.22464892,0.13614182,2023-11-15
0.15568535,0.15522596,0.083946444,0.1359803,0.35313946,0.11602248,2023-11-16
0.07060977,0.447162,0.06261604,0.04212434,0.29993623,0.07755161,2023-11-17
0.03319902,0.64277494,0.032849107,0.044546217,0.19079529,0.055835444,2023-11-20
