cash,AMD,date
0.76851565,0.23148432,2023-07-13
0.87489825,0.12510173,2023-07-14
0.63025784,0.36974216,2023-07-17
0.7539358,0.2460642,2023-07-18
0.7497864,0.2502136,2023-07-19
0.38329422,0.6167058,2023-07-20
0.58328515,0.41671485,2023-07-21
0.90293515,0.09706486,2023-07-24
0.9691762,0.030823834,2023-07-25
0.9462421,0.053757884,2023-07-26
0.9514718,0.048528206,2023-07-27
0.8654891,0.13451087,2023-07-28
0.9577222,0.04227781,2023-07-31
0.95922804,0.040771957,2023-08-01
0.90408444,0.09591555,2023-08-02
0.4425332,0.5574668,2023-08-03
0.9762256,0.023774387,2023-08-04
0.92130417,0.07869584,2023-08-07
0.607201,0.392799,2023-08-08
0.75648123,0.24351874,2023-08-09
0.9151717,0.08482832,2023-08-10
0.97494024,0.025059752,2023-08-11
0.9659867,0.03401327,2023-08-14
0.97575605,0.024243966,2023-08-15
0.96237147,0.037628517,2023-08-16
0.928647,0.07135302,2023-08-17
0.9628792,0.037120815,2023-08-18
0.9842425,0.015757523,2023-08-21
0.97307,0.026929945,2023-08-22
0.8880917,0.111908324,2023-08-23
0.8072051,0.19279493,2023-08-24
0.43825248,0.5617475,2023-08-25
0.9565583,0.04344174,2023-08-28
0.962935,0.03706501,2023-08-29
0.8720113,0.12798873,2023-08-30
0.64353514,0.35646486,2023-08-31
0.9425561,0.057443928,2023-09-01
0.68733233,0.31266767,2023-09-05
0.6156546,0.38434538,2023-09-06
0.44845492,0.5515451,2023-09-07
0.4952436,0.5047564,2023-09-08
0.74410695,0.25589305,2023-09-11
0.6319636,0.3680364,2023-09-12
0.47112724,0.5288727,2023-09-13
0.66556734,0.3344327,2023-09-14
0.81234133,0.18765867,2023-09-15
0.8197912,0.18020879,2023-09-18
0.8697051,0.13029489,2023-09-19
0.79783005,0.20216997,2023-09-20
0.5413003,0.4586997,2023-09-21
0.5524334,0.44756663,2023-09-22
0.90186995,0.09813004,2023-09-25
0.92548823,0.07451176,2023-09-26
0.85643315,0.14356686,2023-09-27
0.92770946,0.07229056,2023-09-28
0.75241584,0.24758416,2023-09-29
0.90176886,0.098231144,2023-10-02
0.8974476,0.1025524,2023-10-03
0.9591606,0.040839344,2023-10-04
0.9647908,0.0352092,2023-10-05
0.95105803,0.04894196,2023-10-06
0.94424015,0.055759855,2023-10-09
0.934971,0.06502904,2023-10-10
0.9037854,0.09621461,2023-10-11
0.85841304,0.14158696,2023-10-12
0.85386354,0.14613648,2023-10-13
0.898098,0.10190203,2023-10-16
0.96917695,0.030823061,2023-10-17
0.9581661,0.04183385,2023-10-18
0.8865041,0.11349587,2023-10-19
0.90816927,0.09183073,2023-10-20
0.9538641,0.046135932,2023-10-23
0.9533127,0.04668733,2023-10-24
0.9565645,0.043435514,2023-10-25
0.9076094,0.09239059,2023-10-26
0.71740377,0.28259626,2023-10-27
0.82498586,0.17501417,2023-10-30
0.83329946,0.16670054,2023-10-31
0.7961216,0.20387842,2023-11-01
0.64461887,0.35538113,2023-11-02
0.32452103,0.67547894,2023-11-03
0.40817374,0.59182626,2023-11-06
0.38462704,0.61537296,2023-11-07
0.34854528,0.6514547,2023-11-08
0.43935093,0.5606491,2023-11-09
0.36889684,0.63110316,2023-11-10
0.409967,0.590033,2023-11-13
0.3546621,0.6453379,2023-11-14
0.20627318,0.7937268,2023-11-15
0.442887,0.557113,2023-11-16
0.61891115,0.38108888,2023-11-17
0.58737904,0.41262096,2023-11-20
0.2839743,0.7160257,2023-11-21
0.23218043,0.7678196,2023-11-22
0.7078889,0.29211107,2023-11-24
0.39854303,0.60145694,2023-11-27
0.4278653,0.57213473,2023-11-28
0.31721413,0.68278587,2023-11-29
0.4656951,0.5343049,2023-11-30
0.5967637,0.40323636,2023-12-01
0.38005254,0.61994743,2023-12-04
0.62903434,0.3709657,2023-12-05
0.7418696,0.25813037,2023-12-06
0.42821658,0.5717834,2023-12-07
0.5674117,0.43258828,2023-12-08
0.33447737,0.66552263,2023-12-11
0.4432454,0.5567546,2023-12-12
0.56837547,0.43162453,2023-12-13
0.5146453,0.48535472,2023-12-14
0.5494711,0.45052892,2023-12-15
0.46521798,0.534782,2023-12-18
0.38937187,0.6106281,2023-12-19
0.6768876,0.32311246,2023-12-20
0.3151761,0.6848239,2023-12-21
0.5065985,0.49340153,2023-12-22
0.34207696,0.65792304,2023-12-26
0.5155406,0.4844594,2023-12-27
