cash,WMT,date
0.26006806,0.73993194,2023-10-16
0.32472295,0.67527705,2023-10-17
0.46662313,0.5333769,2023-10-18
0.24363512,0.7563649,2023-10-19
0.16041438,0.8395856,2023-10-20
0.22634238,0.7736576,2023-10-23
0.44273284,0.5572671,2023-10-24
0.39467204,0.60532796,2023-10-25
0.17438687,0.82561314,2023-10-26
0.21751246,0.7824876,2023-10-27
0.26028728,0.7397127,2023-10-30
0.31264588,0.6873541,2023-10-31
0.37856367,0.6214363,2023-11-01
0.3401119,0.6598881,2023-11-02
0.34554568,0.6544543,2023-11-03
0.46798807,0.5320119,2023-11-06
0.5437922,0.4562078,2023-11-07
0.41764072,0.5823593,2023-11-08
0.21534295,0.78465706,2023-11-09
0.47820416,0.52179587,2023-11-10
0.46579504,0.53420496,2023-11-13
0.19732606,0.80267394,2023-11-14
0.17030512,0.82969487,2023-11-15
0.14773194,0.85226804,2023-11-16
0.04513414,0.9548659,2023-11-17
0.15787695,0.84212303,2023-11-20
0.3979383,0.6020617,2023-11-21
0.22859553,0.77140445,2023-11-22
0.18125841,0.8187416,2023-11-24
0.064422175,0.9355778,2023-11-27
0.02690848,0.97309154,2023-11-28
0.039401095,0.9605989,2023-11-29
0.04741024,0.95258975,2023-11-30
0.034508917,0.96549106,2023-12-01
0.492701,0.507299,2023-12-04
0.5168652,0.4831348,2023-12-05
0.48980397,0.51019603,2023-12-06
0.09079191,0.9092081,2023-12-07
0.18728282,0.8127172,2023-12-08
0.15411158,0.84588844,2023-12-11
0.18105295,0.8189471,2023-12-12
0.17324132,0.8267587,2023-12-13
0.14724971,0.8527503,2023-12-14
