cash,AMD,date
0.5128976,0.4871024,2023-07-12
0.44198915,0.5580108,2023-07-13
0.67353404,0.326466,2023-07-14
0.20374161,0.7962584,2023-07-17
0.410637,0.589363,2023-07-18
0.4781302,0.52186984,2023-07-19
0.07281219,0.9271878,2023-07-20
0.21548297,0.78451705,2023-07-21
0.6222534,0.3777466,2023-07-24
0.85045123,0.1495488,2023-07-25
0.7546808,0.24531917,2023-07-26
0.6131615,0.38683853,2023-07-27
0.20986688,0.7901331,2023-07-28
0.62133634,0.3786637,2023-07-31
0.7792011,0.22079892,2023-08-01
0.7675001,0.23249991,2023-08-02
0.07269484,0.92730516,2023-08-03
0.85064495,0.14935505,2023-08-04
0.39228708,0.6077129,2023-08-07
0.15823762,0.84176236,2023-08-08
0.20540887,0.7945911,2023-08-09
0.27018014,0.72981983,2023-08-10
0.6809987,0.31900132,2023-08-11
0.6747833,0.3252167,2023-08-14
0.8755494,0.12445061,2023-08-15
0.68574905,0.31425098,2023-08-16
0.31892106,0.6810789,2023-08-17
0.6314995,0.3685005,2023-08-18
0.82297724,0.17702274,2023-08-21
0.72387064,0.27612936,2023-08-22
0.12658943,0.8734106,2023-08-23
0.26172137,0.7382786,2023-08-24
0.06858801,0.931412,2023-08-25
0.5390501,0.4609499,2023-08-28
0.4101862,0.58981377,2023-08-29
0.46952957,0.53047043,2023-08-30
0.19685961,0.8031404,2023-08-31
0.7741441,0.2258559,2023-09-01
0.26095647,0.73904353,2023-09-05
0.19058606,0.80941397,2023-09-06
0.31232157,0.68767846,2023-09-07
0.28995943,0.71004057,2023-09-08
0.3472964,0.6527036,2023-09-11
0.14025092,0.8597491,2023-09-12
0.157329,0.842671,2023-09-13
0.53493994,0.46506009,2023-09-14
0.556082,0.443918,2023-09-15
0.7455201,0.25447991,2023-09-18
0.5587198,0.4412802,2023-09-19
0.43804517,0.5619548,2023-09-20
0.16392894,0.8360711,2023-09-21
0.17156275,0.82843727,2023-09-22
0.56794596,0.43205407,2023-09-25
0.600493,0.39950696,2023-09-26
0.38728952,0.6127105,2023-09-27
0.6902441,0.3097559,2023-09-28
0.523934,0.47606602,2023-09-29
0.77235246,0.22764756,2023-10-02
0.65448135,0.34551862,2023-10-03
0.74585587,0.25414416,2023-10-04
0.8529623,0.14703766,2023-10-05
0.65055543,0.34944457,2023-10-06
0.89322406,0.10677594,2023-10-09
0.7771986,0.22280139,2023-10-10
0.67966723,0.32033277,2023-10-11
0.2740878,0.7259122,2023-10-12
0.34798357,0.65201646,2023-10-13
0.30222327,0.69777673,2023-10-16
0.8668226,0.13317737,2023-10-17
0.95012015,0.04987987,2023-10-18
0.38270453,0.6172955,2023-10-19
0.2836768,0.7163232,2023-10-20
0.7850637,0.21493632,2023-10-23
0.6186867,0.38131335,2023-10-24
0.61263615,0.38736382,2023-10-25
0.52396786,0.4760321,2023-10-26
0.06469755,0.93530244,2023-10-27
0.27503207,0.7249679,2023-10-30
0.45455578,0.5454442,2023-10-31
0.6587753,0.34122467,2023-11-01
0.6171139,0.3828861,2023-11-02
0.18355493,0.81644505,2023-11-03
0.4520868,0.5479132,2023-11-06
0.3317615,0.66823846,2023-11-07
0.3702556,0.6297444,2023-11-08
0.46795896,0.5320411,2023-11-09
0.2268291,0.7731709,2023-11-10
0.19602911,0.8039709,2023-11-13
0.50736934,0.49263066,2023-11-14
0.14659768,0.8534023,2023-11-15
0.33090127,0.66909873,2023-11-16
0.59001005,0.40998992,2023-11-17
0.5095055,0.49049452,2023-11-20
0.24852449,0.7514755,2023-11-21
0.2014533,0.7985467,2023-11-22
0.6734531,0.3265469,2023-11-24
0.40305987,0.59694016,2023-11-27
0.4290815,0.5709185,2023-11-28
0.26309633,0.73690367,2023-11-29
0.4355606,0.5644394,2023-11-30
0.29756778,0.7024322,2023-12-01
0.17889273,0.82110727,2023-12-04
0.4679616,0.5320384,2023-12-05
0.5807208,0.41927922,2023-12-06
0.06372841,0.9362716,2023-12-07
0.33618155,0.6638185,2023-12-08
0.16530754,0.8346925,2023-12-11
0.57302916,0.4269708,2023-12-12
0.43841738,0.5615826,2023-12-13
0.5551182,0.4448818,2023-12-14
0.2510502,0.7489498,2023-12-15
0.21597266,0.78402734,2023-12-18
0.39208904,0.607911,2023-12-19
0.53147995,0.46852005,2023-12-20
0.07119911,0.9288009,2023-12-21
0.35810477,0.64189523,2023-12-22
0.2806201,0.7193799,2023-12-26
0.5384441,0.4615559,2023-12-27
