cash,TSM,date
0.08878611,0.9112139,2022-06-29
0.07073859,0.9292614,2022-06-30
0.101118416,0.89888155,2022-07-01
0.078820884,0.9211791,2022-07-05
0.18356223,0.8164378,2022-07-06
0.30785224,0.6921478,2022-07-07
0.7681083,0.23189169,2022-07-08
0.55145043,0.4485496,2022-07-11
0.06320125,0.93679875,2022-07-12
0.17935109,0.8206489,2022-07-13
0.86020166,0.13979837,2022-07-14
0.69180596,0.30819404,2022-07-15
0.30418897,0.69581103,2022-07-18
0.17171226,0.8282877,2022-07-19
0.38510075,0.6148992,2022-07-20
0.26219746,0.73780257,2022-07-21
0.34861505,0.65138495,2022-07-22
0.14217164,0.8578284,2022-07-25
0.13992032,0.86007965,2022-07-26
0.08183495,0.918165,2022-07-27
0.4644647,0.53553534,2022-07-28
0.29808217,0.7019178,2022-07-29
0.19853857,0.80146146,2022-08-01
0.17943464,0.82056534,2022-08-02
0.80731565,0.19268434,2022-08-03
0.4153464,0.5846536,2022-08-04
0.4610631,0.5389369,2022-08-05
0.6723277,0.32767227,2022-08-08
0.2146824,0.7853176,2022-08-09
0.105345376,0.89465463,2022-08-10
0.66412634,0.3358737,2022-08-11
0.19846329,0.8015367,2022-08-12
0.2621026,0.7378974,2022-08-15
0.29581648,0.7041835,2022-08-16
0.25884545,0.74115455,2022-08-17
0.062461626,0.9375384,2022-08-18
0.07471251,0.9252875,2022-08-19
0.0659127,0.9340873,2022-08-22
0.061978858,0.9380211,2022-08-23
0.1973054,0.8026946,2022-08-24
0.18709537,0.81290466,2022-08-25
0.36683804,0.63316196,2022-08-26
0.17882687,0.82117313,2022-08-29
0.13961466,0.86038536,2022-08-30
0.21289428,0.78710574,2022-08-31
0.1999028,0.8000972,2022-09-01
0.14345525,0.85654473,2022-09-02
0.18019034,0.8198097,2022-09-06
0.09094611,0.90905386,2022-09-07
0.23927365,0.76072633,2022-09-08
0.31442714,0.68557286,2022-09-09
0.2738472,0.72615284,2022-09-12
0.2741779,0.7258221,2022-09-13
0.15625678,0.8437432,2022-09-14
0.113785736,0.88621426,2022-09-15
0.07781645,0.9221836,2022-09-16
0.103820756,0.89617926,2022-09-19
0.24231823,0.7576818,2022-09-20
0.09981679,0.9001832,2022-09-21
0.108533226,0.8914668,2022-09-22
0.06567937,0.9343206,2022-09-23
0.07484306,0.92515695,2022-09-26
0.08286895,0.91713107,2022-09-27
0.15249772,0.8475023,2022-09-28
0.3205552,0.6794448,2022-09-29
0.24790688,0.75209314,2022-09-30
0.70852643,0.29147357,2022-10-03
0.8278145,0.17218545,2022-10-04
0.9320843,0.067915656,2022-10-05
0.90480375,0.09519627,2022-10-06
0.65039396,0.34960604,2022-10-07
0.15840392,0.84159607,2022-10-10
0.12439392,0.87560606,2022-10-11
0.10695016,0.89304984,2022-10-12
0.09771389,0.9022861,2022-10-13
0.9604681,0.0395319,2022-10-14
0.06867153,0.9313285,2022-10-17
0.054323647,0.9456763,2022-10-18
0.14940831,0.85059166,2022-10-19
0.35696325,0.6430367,2022-10-20
0.15275924,0.84724075,2022-10-21
0.5028327,0.4971673,2022-10-24
0.17348585,0.8265141,2022-10-25
0.20000291,0.7999971,2022-10-26
0.15073343,0.8492666,2022-10-27
0.15895306,0.8410469,2022-10-28
0.71970433,0.2802957,2022-10-31
0.3888789,0.61112106,2022-11-01
0.28511268,0.7148873,2022-11-02
0.22812383,0.77187616,2022-11-03
0.28427872,0.71572125,2022-11-04
0.75212926,0.24787077,2022-11-07
0.5354681,0.46453187,2022-11-08
0.65315557,0.34684446,2022-11-09
0.4057008,0.5942992,2022-11-10
0.9115638,0.08843618,2022-11-11
0.8185225,0.1814775,2022-11-14
0.40467963,0.59532034,2022-11-15
0.7974136,0.20258641,2022-11-16
0.401628,0.59837204,2022-11-17
0.80514956,0.19485046,2022-11-18
0.3814757,0.6185243,2022-11-21
0.121864,0.878136,2022-11-22
0.23751274,0.76248723,2022-11-23
0.061616585,0.9383834,2022-11-25
0.0441949,0.9558051,2022-11-28
0.07278285,0.9272171,2022-11-29
0.0346108,0.9653892,2022-11-30
0.74863416,0.2513658,2022-12-01
0.2477765,0.7522235,2022-12-02
0.10553123,0.8944688,2022-12-05
0.09645849,0.9035415,2022-12-06
0.111872256,0.88812774,2022-12-07
0.07646285,0.92353714,2022-12-08
0.39829558,0.6017044,2022-12-09
0.11945636,0.88054365,2022-12-12
0.28906322,0.7109368,2022-12-13
0.21441975,0.7855803,2022-12-14
0.1972019,0.8027981,2022-12-15
0.08017985,0.91982013,2022-12-16
0.17742488,0.82257515,2022-12-19
0.11389973,0.8861003,2022-12-20
0.14446178,0.85553825,2022-12-21
0.53989404,0.46010596,2022-12-22
0.17543437,0.82456565,2022-12-23
0.26060843,0.73939157,2022-12-27
0.16514838,0.8348516,2022-12-28
0.1533411,0.8466589,2022-12-29
0.63934857,0.36065143,2022-12-30
0.16033784,0.8396622,2023-01-03
0.14388123,0.8561188,2023-01-04
0.80698806,0.19301197,2023-01-05
0.17575797,0.82424206,2023-01-06
0.70838434,0.2916157,2023-01-09
0.24669515,0.75330484,2023-01-10
0.4028372,0.5971628,2023-01-11
0.28445044,0.7155496,2023-01-12
0.8113005,0.18869948,2023-01-13
0.55213827,0.4478617,2023-01-17
0.8371802,0.16281982,2023-01-18
0.41075617,0.5892438,2023-01-19
0.26226744,0.7377325,2023-01-20
0.41830465,0.5816953,2023-01-23
0.8987081,0.101291895,2023-01-24
0.7214019,0.27859813,2023-01-25
0.12873013,0.8712699,2023-01-26
0.15571421,0.8442858,2023-01-27
0.17226061,0.8277394,2023-01-30
0.10781104,0.89218897,2023-01-31
0.3216632,0.6783368,2023-02-01
0.64773995,0.35226002,2023-02-02
0.3652313,0.63476866,2023-02-03
0.23125745,0.76874256,2023-02-06
0.13911244,0.8608875,2023-02-07
0.9073825,0.09261753,2023-02-08
0.15668218,0.8433178,2023-02-09
0.52869284,0.47130716,2023-02-10
0.25032395,0.74967605,2023-02-13
0.32415852,0.67584145,2023-02-14
0.90019125,0.09980877,2023-02-15
0.22024736,0.7797526,2023-02-16
0.13974975,0.86025023,2023-02-17
0.16711237,0.83288765,2023-02-21
0.10423261,0.8957674,2023-02-22
0.07482651,0.92517346,2023-02-23
0.257371,0.742629,2023-02-24
0.08225609,0.9177439,2023-02-27
0.06791344,0.9320865,2023-02-28
0.15791209,0.8420879,2023-03-01
0.37244904,0.62755096,2023-03-02
0.525081,0.474919,2023-03-03
0.49674854,0.5032515,2023-03-06
0.24587554,0.75412446,2023-03-07
0.1659281,0.83407193,2023-03-08
0.91925275,0.08074726,2023-03-09
0.380199,0.61980104,2023-03-10
0.14065497,0.859345,2023-03-13
0.5118218,0.48817816,2023-03-14
0.596975,0.40302494,2023-03-15
0.104812525,0.8951875,2023-03-16
0.8963845,0.10361552,2023-03-17
0.25528222,0.7447178,2023-03-20
0.28737393,0.71262604,2023-03-21
0.46298206,0.53701794,2023-03-22
0.29002935,0.70997065,2023-03-23
0.3975857,0.6024143,2023-03-24
0.25271624,0.74728376,2023-03-27
0.07176457,0.9282354,2023-03-28
0.07971797,0.920282,2023-03-29
0.30651894,0.693481,2023-03-30
0.068318665,0.93168133,2023-03-31
0.46901304,0.53098696,2023-04-03
0.2934597,0.7065403,2023-04-04
0.2632796,0.73672044,2023-04-05
0.2627042,0.7372958,2023-04-06
0.22347912,0.7765209,2023-04-10
0.1643551,0.8356449,2023-04-11
0.10167448,0.8983255,2023-04-12
0.08194307,0.9180569,2023-04-13
0.2637206,0.7362794,2023-04-14
0.2382651,0.7617349,2023-04-17
0.1482517,0.8517483,2023-04-18
0.17143805,0.82856196,2023-04-19
0.16690955,0.8330905,2023-04-20
0.838291,0.16170901,2023-04-21
0.12342619,0.8765738,2023-04-24
0.08896416,0.91103584,2023-04-25
0.058556326,0.9414437,2023-04-26
0.08548077,0.91451925,2023-04-27
0.25971258,0.7402874,2023-04-28
0.09526406,0.9047359,2023-05-01
0.1552139,0.8447861,2023-05-02
0.16216882,0.8378312,2023-05-03
0.15756801,0.842432,2023-05-04
0.20297019,0.7970298,2023-05-05
0.5442142,0.45578584,2023-05-08
0.49600497,0.503995,2023-05-09
0.30923665,0.69076335,2023-05-10
0.28242314,0.71757686,2023-05-11
0.15858743,0.84141254,2023-05-12
0.2451198,0.7548802,2023-05-15
0.6880478,0.31195217,2023-05-16
0.18896514,0.81103486,2023-05-17
0.7212284,0.27877155,2023-05-18
0.5096263,0.49037367,2023-05-19
0.31935373,0.6806463,2023-05-22
0.1520514,0.8479486,2023-05-23
0.07623058,0.9237694,2023-05-24
0.07184357,0.92815644,2023-05-25
0.86844385,0.13155612,2023-05-26
0.540038,0.45996198,2023-05-30
0.23913226,0.7608678,2023-05-31
0.08736683,0.9126332,2023-06-01
0.13410415,0.86589587,2023-06-02
0.075046904,0.9249531,2023-06-05
0.15340571,0.8465943,2023-06-06
0.14875981,0.85124016,2023-06-07
0.09772396,0.90227604,2023-06-08
0.058141988,0.941858,2023-06-09
0.33544514,0.66455483,2023-06-12
0.55310804,0.44689193,2023-06-13
0.28239033,0.71760964,2023-06-14
0.44669598,0.553304,2023-06-15
0.14252861,0.8574714,2023-06-16
0.08370737,0.9162926,2023-06-20
0.077643305,0.92235667,2023-06-21
0.09697505,0.903025,2023-06-22
0.22858436,0.77141565,2023-06-23
0.085891426,0.9141086,2023-06-26
0.17769806,0.8223019,2023-06-27
0.47244298,0.527557,2023-06-28
0.25263545,0.7473645,2023-06-29
0.23467928,0.7653207,2023-06-30
0.116261035,0.883739,2023-07-03
0.4718849,0.5281151,2023-07-05
0.18581308,0.81418693,2023-07-06
0.085881546,0.91411847,2023-07-07
0.49697807,0.5030219,2023-07-10
0.16041733,0.8395827,2023-07-11
0.18943268,0.8105673,2023-07-12
0.3923519,0.60764813,2023-07-13
0.4920684,0.5079316,2023-07-14
0.2934328,0.70656717,2023-07-17
0.23953204,0.76046795,2023-07-18
0.09512657,0.90487343,2023-07-19
0.27122313,0.7287769,2023-07-20
0.10710257,0.8928974,2023-07-21
0.067828365,0.93217164,2023-07-24
0.21493523,0.78506476,2023-07-25
0.26205423,0.7379458,2023-07-26
0.09128376,0.90871626,2023-07-27
0.19902775,0.8009722,2023-07-28
0.389698,0.61030203,2023-07-31
0.13539164,0.86460835,2023-08-01
0.13828458,0.86171544,2023-08-02
0.118710004,0.88129,2023-08-03
0.12035025,0.87964976,2023-08-04
0.3882468,0.6117532,2023-08-07
0.14308544,0.8569146,2023-08-08
0.17717662,0.8228234,2023-08-09
0.22582789,0.7741721,2023-08-10
0.26618063,0.73381937,2023-08-11
0.06587742,0.93412256,2023-08-14
0.37126037,0.62873966,2023-08-15
0.13622154,0.8637785,2023-08-16
0.1865952,0.8134048,2023-08-17
0.07829268,0.92170733,2023-08-18
0.25114623,0.7488538,2023-08-21
0.70566875,0.29433128,2023-08-22
0.2846319,0.7153681,2023-08-23
0.29128918,0.7087108,2023-08-24
0.28256834,0.71743166,2023-08-25
0.41687447,0.58312553,2023-08-28
0.24286596,0.757134,2023-08-29
0.61827505,0.38172498,2023-08-30
0.27050197,0.729498,2023-08-31
0.16762361,0.83237636,2023-09-01
0.23937944,0.76062053,2023-09-05
0.5275282,0.47247177,2023-09-06
0.09584628,0.9041537,2023-09-07
0.069367446,0.93063253,2023-09-08
0.1351974,0.8648026,2023-09-11
0.088020526,0.9119795,2023-09-12
0.09795749,0.9020425,2023-09-13
0.31797233,0.68202764,2023-09-14
0.34834707,0.65165293,2023-09-15
0.11236022,0.88763976,2023-09-18
0.14576669,0.8542333,2023-09-19
0.2227312,0.7772688,2023-09-20
0.17544627,0.8245537,2023-09-21
0.053860925,0.9461391,2023-09-22
0.10317432,0.8968257,2023-09-25
0.44469768,0.5553023,2023-09-26
0.18563177,0.81436825,2023-09-27
0.21039174,0.78960824,2023-09-28
0.6559357,0.3440643,2023-09-29
0.34467003,0.65532994,2023-10-02
0.43892226,0.5610777,2023-10-03
0.17781173,0.82218826,2023-10-04
0.55045116,0.44954884,2023-10-05
0.4481342,0.5518658,2023-10-06
0.86516523,0.13483478,2023-10-09
0.5986515,0.40134844,2023-10-10
0.86257863,0.13742137,2023-10-11
0.8376291,0.16237089,2023-10-12
0.746933,0.25306705,2023-10-13
0.36537874,0.63462126,2023-10-16
0.63984495,0.36015508,2023-10-17
0.91122425,0.088775784,2023-10-18
0.2315801,0.7684199,2023-10-19
0.2851549,0.71484506,2023-10-20
0.34011507,0.6598849,2023-10-23
0.5885624,0.4114376,2023-10-24
0.24599321,0.7540068,2023-10-25
0.14156963,0.8584304,2023-10-26
0.12517777,0.87482226,2023-10-27
0.066376,0.933624,2023-10-30
0.11072794,0.88927203,2023-10-31
0.10558059,0.89441943,2023-11-01
0.28525797,0.71474206,2023-11-02
0.268643,0.73135704,2023-11-03
0.27844995,0.72155005,2023-11-06
0.2929009,0.7070991,2023-11-07
0.29413608,0.70586395,2023-11-08
0.24730332,0.7526967,2023-11-09
0.29166284,0.7083371,2023-11-10
0.7172955,0.28270447,2023-11-13
0.1790232,0.8209768,2023-11-14
0.20795026,0.79204977,2023-11-15
0.18482324,0.8151767,2023-11-16
