cash,GOOG,date
0.25435585,0.74564415,2023-10-25
0.15311076,0.84688926,2023-10-26
0.12746276,0.87253726,2023-10-27
0.107342236,0.89265776,2023-10-30
0.57078975,0.42921025,2023-10-31
0.8540922,0.14590783,2023-11-01
0.8885632,0.11143676,2023-11-02
0.8870651,0.11293487,2023-11-03
0.8782741,0.121725895,2023-11-06
0.83554184,0.16445816,2023-11-07
0.7977148,0.20228514,2023-11-08
0.44673845,0.5532615,2023-11-09
0.30246213,0.6975379,2023-11-10
0.1567562,0.8432438,2023-11-13
0.17245974,0.8275403,2023-11-14
0.2806202,0.71937984,2023-11-15
0.3036756,0.6963244,2023-11-16
0.3423365,0.65766346,2023-11-17
0.23154157,0.7684584,2023-11-20
0.19461411,0.8053859,2023-11-21
0.17278008,0.8272199,2023-11-22
0.28464243,0.71535754,2023-11-24
0.3483885,0.6516115,2023-11-27
0.25908953,0.7409105,2023-11-28
0.17187609,0.8281239,2023-11-29
0.3001736,0.69982636,2023-11-30
0.22793338,0.7720666,2023-12-01
0.21730636,0.7826936,2023-12-04
0.20178603,0.79821396,2023-12-05
0.34473997,0.65526,2023-12-06
0.5706959,0.42930412,2023-12-07
0.6807024,0.3192976,2023-12-08
0.6118774,0.3881226,2023-12-11
0.5924463,0.40755367,2023-12-12
0.25296405,0.747036,2023-12-13
0.35428658,0.64571345,2023-12-14
