cash,TSM,date
0.06669449,0.9333055,2022-06-29
0.042840388,0.95715964,2022-06-30
0.0726026,0.92739743,2022-07-01
0.059059773,0.9409402,2022-07-05
0.13480122,0.8651988,2022-07-06
0.11597635,0.88402367,2022-07-07
0.74575007,0.2542499,2022-07-08
0.16669016,0.8333098,2022-07-11
0.0430749,0.9569251,2022-07-12
0.15998693,0.8400131,2022-07-13
0.7165698,0.28343022,2022-07-14
0.5643978,0.4356022,2022-07-15
0.41073462,0.5892654,2022-07-18
0.2781945,0.7218055,2022-07-19
0.81622523,0.18377475,2022-07-20
0.5656069,0.43439308,2022-07-21
0.5377865,0.46221352,2022-07-22
0.3073552,0.6926448,2022-07-25
0.45340073,0.54659927,2022-07-26
0.12605812,0.8739419,2022-07-27
0.8241978,0.17580217,2022-07-28
0.5689764,0.43102363,2022-07-29
0.2742103,0.72578967,2022-08-01
0.3376001,0.6623999,2022-08-02
0.696028,0.30397204,2022-08-03
0.31172818,0.6882718,2022-08-04
0.5595011,0.44049892,2022-08-05
0.6279242,0.3720758,2022-08-08
0.14002368,0.8599763,2022-08-09
0.08345762,0.91654235,2022-08-10
0.7938857,0.20611426,2022-08-11
0.2795968,0.7204032,2022-08-12
0.3967606,0.60323936,2022-08-15
0.50696844,0.49303156,2022-08-16
0.39860633,0.6013937,2022-08-17
0.15182127,0.84817874,2022-08-18
0.20428641,0.7957136,2022-08-19
0.04036141,0.9596386,2022-08-22
0.04393766,0.9560623,2022-08-23
0.21073271,0.7892673,2022-08-24
0.10378322,0.89621675,2022-08-25
0.39118358,0.6088164,2022-08-26
0.122321226,0.87767875,2022-08-29
0.051678848,0.94832116,2022-08-30
0.14820978,0.8517902,2022-08-31
0.16526368,0.8347363,2022-09-01
0.060321625,0.9396784,2022-09-02
0.13513891,0.8648611,2022-09-06
0.059940845,0.9400592,2022-09-07
0.18170549,0.8182945,2022-09-08
0.21304685,0.78695315,2022-09-09
0.28861997,0.71138006,2022-09-12
0.29739127,0.7026087,2022-09-13
0.066892475,0.9331075,2022-09-14
0.18828668,0.81171334,2022-09-15
0.052362673,0.9476373,2022-09-16
0.070792645,0.9292074,2022-09-19
0.32292384,0.67707616,2022-09-20
0.07511087,0.92488915,2022-09-21
0.09394643,0.9060536,2022-09-22
0.035605866,0.96439415,2022-09-23
0.037794303,0.9622057,2022-09-26
0.049471837,0.95052814,2022-09-27
0.095619366,0.9043806,2022-09-28
0.105864465,0.89413553,2022-09-29
0.118090086,0.8819099,2022-09-30
0.18692797,0.813072,2022-10-03
0.16531514,0.83468485,2022-10-04
0.7894893,0.21051066,2022-10-05
0.58390325,0.41609672,2022-10-06
0.19348566,0.8065143,2022-10-07
0.07535178,0.9246482,2022-10-10
0.098914504,0.9010855,2022-10-11
0.06299945,0.9370006,2022-10-12
0.072229624,0.9277704,2022-10-13
0.8352504,0.1647496,2022-10-14
0.05065355,0.9493464,2022-10-17
0.051355224,0.94864476,2022-10-18
0.12327845,0.87672156,2022-10-19
0.13204572,0.86795425,2022-10-20
0.059900675,0.9400993,2022-10-21
0.22097382,0.77902615,2022-10-24
0.03456632,0.96543366,2022-10-25
0.19530885,0.80469114,2022-10-26
0.07151379,0.9284862,2022-10-27
0.1330181,0.8669819,2022-10-28
0.48355442,0.5164456,2022-10-31
0.1962366,0.8037634,2022-11-01
0.3612959,0.6387041,2022-11-02
0.2388972,0.7611028,2022-11-03
0.20614782,0.7938522,2022-11-04
0.845311,0.15468904,2022-11-07
0.34435317,0.6556468,2022-11-08
0.8536256,0.14637443,2022-11-09
0.64034504,0.35965496,2022-11-10
0.9080429,0.09195708,2022-11-11
0.8994196,0.10058039,2022-11-14
0.56899834,0.4310017,2022-11-15
0.8663268,0.13367319,2022-11-16
0.7862572,0.21374276,2022-11-17
0.88904095,0.11095904,2022-11-18
0.77191967,0.2280803,2022-11-21
0.48238274,0.5176173,2022-11-22
0.6610106,0.3389894,2022-11-23
0.49045384,0.50954616,2022-11-25
0.16655183,0.8334482,2022-11-28
0.056717947,0.94328207,2022-11-29
0.13276127,0.86723876,2022-11-30
0.8585921,0.14140789,2022-12-01
0.20016168,0.7998383,2022-12-02
0.0829925,0.9170075,2022-12-05
0.17030351,0.8296965,2022-12-06
0.07556237,0.92443764,2022-12-07
0.058299653,0.94170034,2022-12-08
0.5013295,0.49867052,2022-12-09
0.11954415,0.88045585,2022-12-12
0.25464883,0.7453512,2022-12-13
0.35101852,0.64898145,2022-12-14
0.31799617,0.68200386,2022-12-15
0.068873495,0.9311265,2022-12-16
0.0735437,0.92645633,2022-12-19
0.07886568,0.92113435,2022-12-20
0.08103977,0.9189602,2022-12-21
0.4132899,0.5867101,2022-12-22
0.08999304,0.91000694,2022-12-23
0.13699858,0.8630014,2022-12-27
0.08688579,0.9131142,2022-12-28
0.09286321,0.9071368,2022-12-29
0.7323795,0.2676205,2022-12-30
0.05702867,0.94297135,2023-01-03
0.19861354,0.8013865,2023-01-04
0.7601085,0.2398915,2023-01-05
0.07981953,0.9201805,2023-01-06
0.7422226,0.25777736,2023-01-09
0.59695643,0.40304357,2023-01-10
0.5828283,0.41717172,2023-01-11
0.5498742,0.45012584,2023-01-12
0.894553,0.10544701,2023-01-13
0.81450945,0.18549053,2023-01-17
0.8982973,0.101702705,2023-01-18
0.7628018,0.2371982,2023-01-19
0.5124107,0.4875893,2023-01-20
0.8467984,0.1532016,2023-01-23
0.9036657,0.096334286,2023-01-24
0.8605531,0.13944688,2023-01-25
0.26651147,0.7334885,2023-01-26
0.57357615,0.42642385,2023-01-27
0.4059893,0.5940107,2023-01-30
0.20409966,0.79590034,2023-01-31
0.45099205,0.54900795,2023-02-01
0.82985085,0.17014912,2023-02-02
0.719804,0.280196,2023-02-03
0.11036504,0.88963497,2023-02-06
0.039134208,0.9608658,2023-02-07
0.867742,0.132258,2023-02-08
0.0993157,0.9006843,2023-02-09
0.709437,0.290563,2023-02-10
0.13793987,0.8620601,2023-02-13
0.40895596,0.59104407,2023-02-14
0.884869,0.115131035,2023-02-15
0.086166054,0.913834,2023-02-16
0.08020882,0.91979116,2023-02-17
0.06214192,0.9378581,2023-02-21
0.022154653,0.9778454,2023-02-22
0.033885535,0.96611446,2023-02-23
0.34230673,0.65769327,2023-02-24
0.034080792,0.9659192,2023-02-27
0.030342106,0.9696579,2023-02-28
0.07130673,0.9286933,2023-03-01
0.18831366,0.81168634,2023-03-02
0.3531935,0.6468065,2023-03-03
0.4590001,0.5409999,2023-03-06
0.21384516,0.78615487,2023-03-07
0.21185236,0.7881476,2023-03-08
0.8902597,0.109740324,2023-03-09
0.12530562,0.8746944,2023-03-10
0.09533999,0.90466,2023-03-13
0.60042053,0.39957947,2023-03-14
0.5463016,0.4536984,2023-03-15
0.045677606,0.9543224,2023-03-16
0.88091713,0.11908285,2023-03-17
0.16678649,0.8332135,2023-03-20
0.39172345,0.60827655,2023-03-21
0.65198386,0.34801617,2023-03-22
0.5705668,0.42943326,2023-03-23
0.73177135,0.26822862,2023-03-24
0.30789003,0.69210994,2023-03-27
0.077899195,0.9221008,2023-03-28
0.16189672,0.8381033,2023-03-29
0.64527947,0.35472053,2023-03-30
0.16031806,0.8396819,2023-03-31
0.46899813,0.53100187,2023-04-03
0.35994112,0.6400589,2023-04-04
0.2710083,0.7289917,2023-04-05
0.22722863,0.77277136,2023-04-06
0.21814574,0.7818543,2023-04-10
0.17795023,0.8220498,2023-04-11
0.16871488,0.8312851,2023-04-12
0.06999437,0.9300056,2023-04-13
0.16314165,0.83685833,2023-04-14
0.1840662,0.8159338,2023-04-17
0.19808722,0.8019128,2023-04-18
0.17836143,0.8216386,2023-04-19
0.14442946,0.85557055,2023-04-20
0.84901625,0.15098374,2023-04-21
0.052424967,0.94757503,2023-04-24
0.0526189,0.9473811,2023-04-25
0.03152966,0.96847034,2023-04-26
0.08989148,0.9101085,2023-04-27
0.20406853,0.79593146,2023-04-28
0.049751833,0.9502482,2023-05-01
0.08685725,0.91314274,2023-05-02
0.06661268,0.93338734,2023-05-03
0.08536051,0.9146395,2023-05-04
0.20160878,0.7983912,2023-05-05
0.5661051,0.43389487,2023-05-08
0.39244497,0.60755503,2023-05-09
