scope,ticker_group,model,algorithm,feature_set,final_value,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,calmar,avg_turnover,n_steps
multi_stock,"AMD,GOOG,KO,TSM,WMT",EqualWeight,EqualWeight,baseline,1185899.475309376,0.1858994753093759,0.2646419043309627,0.17687250675495414,1.4158431038580965,-0.10233997094962799,2.5859095119464137,0.0,184
multi_stock,"AMD,GOOG,KO,TSM,WMT",BuyHold_AMD,BuyHold,baseline,1428423.5496134919,0.4284235496134918,0.6383903704409564,0.4555942244775542,1.3098851356794234,-0.27494390898065746,2.321893119246616,0.0,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",BuyHold_GOOG,BuyHold,baseline,1292450.99943608,0.2924509994360798,0.4264799064886058,0.2761923577799001,1.425190568984296,-0.12914605363692866,3.302306919014179,0.0,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",BuyHold_KO,BuyHold,baseline,962347.2271222932,-0.03765277287770674,-0.05175414525699995,0.12904266187971933,-0.34728087149660086,-0.1853810484899614,-0.2791771094109574,0.0,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",BuyHold_TSM,BuyHold,baseline,1141076.4699922276,0.14107646999222756,0.200490933609194,0.29520638103203994,0.763353264014555,-0.21524999495682906,0.9314329305763972,0.0,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",BuyHold_WMT,BuyHold,baseline,1055490.0471776742,0.05549004717767425,0.0776431345788744,0.15621372772963993,0.5581061880048612,-0.11143832197537074,0.6967363937518235,0.0,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",PPO_price_only_MULTI_AMD_GOOG_KO_TSM_WMT,PPO,price_only,1164880.8423851158,0.1648808423851158,0.23530553871842108,0.16676367345680226,1.3499010435586292,-0.1158115655565809,2.031796544564111,0.3172370334166092,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",A2C_price_only_MULTI_AMD_GOOG_KO_TSM_WMT,A2C,price_only,1337359.3911205188,0.3373593911205188,0.4955643541475985,0.4383996450860088,1.1356848107890314,-0.2883962797771118,1.718345169121451,0.05900988286581136,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",PPO_sentiment_MULTI_AMD_GOOG_KO_TSM_WMT,PPO,sentiment,1071448.762258439,0.07144876225843899,0.10026898728751332,0.15719972199242424,0.6857564455881088,-0.12629507625619085,0.7939263371132272,0.41052385071640485,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",A2C_sentiment_MULTI_AMD_GOOG_KO_TSM_WMT,A2C,sentiment,991424.1203870925,-0.008575879612907511,-0.011854677101430067,0.2454840652704948,0.07277330674186844,-0.2532736684329244,-0.0468058017036603,0.5826872843982918,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",PPO_llm_news_proxy_MULTI_AMD_GOOG_KO_TSM_WMT,PPO,llm_news_proxy,1045972.1316748275,0.04597213167482761,0.06421125963852958,0.16983343335588533,0.4494945575274771,-0.12079563711002639,0.5315693610692489,0.36039006128743456,183
multi_stock,"AMD,GOOG,KO,TSM,WMT",A2C_llm_news_proxy_MULTI_AMD_GOOG_KO_TSM_WMT,A2C,llm_news_proxy,1212422.4114668777,0.21242241146687757,0.3056553540283442,0.33140944670230726,0.9691876314977098,-0.17622251446694726,1.734485261164933,0.5512229920710964,183
